country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
AL,51.6279069767442,43.4108527131783,1.15625,64,22,65.625
DZ,18.0509583009583,21.23414702581369,1.7758620689655173,116,27,76.72413793103449
AD,90.0,80.0,0.46153846153846156,13,4,69.23076923076923
AO,59.52380952380952,54.76190476190476,1.0975609756097562,41,14,65.85365853658537
AR,48.28585871821871,54.87322361157871,14.25438596491228,114,18,84.21052631578947
AM,36.33175851925852,39.63397713397713,2.7962962962962963,108,21,80.55555555555556
AW,100.0,50.0,0.0,8,8,0.0
AU,66.42588677472399,72.14671633276284,2.0555555555555554,54,12,77.77777777777779
AT,77.3162414232302,72.46100223235685,2.5652173913043477,69,9,86.95652173913044
AZ,32.54915223665223,32.32278138528139,1.3980582524271845,103,16,84.46601941747572
BS,100.0,66.66666666666667,1.5,2,0,100.0
BH,54.293785310734464,71.04519774011298,1.323943661971831,71,13,81.69014084507043
BD,26.526081258713763,26.636504884248176,6.435897435897436,117,23,80.34188034188034
BB,100.0,100.0,0.0,2,2,0.0
BY,19.336372847011145,23.26494427558258,0.905982905982906,117,24,79.48717948717949
BE,58.126058905770336,66.41156412037058,17.145631067961165,103,15,85.43689320388349
BJ,97.22222222222223,69.44444444444444,0.6842105263157895,19,2,89.47368421052632
BO,50.9469954122718,50.801125654415515,8.345454545454546,110,26,76.36363636363637
BA,61.11605801605801,59.34224294224294,2.7954545454545454,88,14,84.0909090909091
BR,28.65820323111978,33.18024406634392,209.4144144144144,111,22,80.18018018018019
BN,100.0,100.0,0.0,1,1,0.0
BG,58.73496873496874,70.88868985420709,2.5686274509803924,102,16,84.31372549019608
BF,90.0,90.0,0.3076923076923077,13,4,69.23076923076923
CM,107.87309775385432,136.55807368800788,11.394736842105264,38,7,81.57894736842105
CA,68.87489114546825,77.17617928893104,22.75438596491228,114,22,80.7017543859649
CV,93.75,87.5,0.43478260869565216,23,8,65.21739130434783
KY,100.0,100.0,0.0,8,8,0.0
CF,82.43506493506493,75.84415584415584,1.826086956521739,23,2,91.30434782608695
TD,77.43386243386243,75.05291005291006,1.5,30,4,86.66666666666667
CL,93.96969109943294,140.5780500496155,53.93859649122807,114,15,86.8421052631579
CN,57.11538461538461,68.2051282051282,50.96153846153846,26,1,96.15384615384616
CO,20.85543015411686,20.095056037391103,29.757009345794394,107,22,79.43925233644859
CG,92.5925925925926,79.62962962962963,1.619047619047619,21,4,80.95238095238095
CD,53.38468720821662,54.58916900093371,2.111111111111111,63,13,79.36507936507937
CR,54.2677626606198,54.59372637944067,1.92,50,9,82.0
HR,70.45454545454545,70.24242424242425,1.2459016393442623,61,7,88.52459016393442
CU,68.84057971014494,71.0144927536232,0.7857142857142857,28,6,78.57142857142857
CY,100.0,100.0,0.0,7,7,0.0
CZ,65.20114942528735,53.87725779967159,1.6075949367088607,79,22,72.15189873417721
DK,78.48233003893381,57.19976040730758,1.9841269841269842,63,11,82.53968253968253
DJ,69.84126984126985,73.41269841269842,0.9285714285714286,28,8,71.42857142857143
DO,68.794411029386,72.40508076296224,5.831858407079646,113,21,81.41592920353983
EC,113.49292897111833,121.71213894449279,43.62135922330097,103,15,85.43689320388349
EG,24.400604956440123,29.527245762093667,6.025862068965517,116,23,80.17241379310344
SV,47.46225582046478,85.87021601946974,1.711111111111111,90,24,73.33333333333333
GQ,88.88888888888889,88.88888888888889,4.1,10,2,80.0
EE,68.62745098039215,71.5686274509804,0.8095238095238095,21,5,76.19047619047619
ET,73.41240292426062,82.46456376298272,3.9242424242424243,66,12,81.81818181818183
FI,60.524781341107875,71.27308066083576,3.6792452830188678,53,5,90.56603773584906
FR,75.25043871006628,83.29744066625034,54.146067415730336,89,13,85.39325842696628
GF,100.0,100.0,0.0,8,8,0.0
