Country,Date,One_day,Two_day
AL,4/26/2020,100.0,100.0
AL,4/28/2020,100.0,100.0
AL,4/30/2020,0.0,0.0
AL,5/26/2020,100.0,100.0
AL,6/6/2020,100.0,100.0
AL,6/11/2020,100.0,100.0
AL,6/12/2020,100.0,100.0
AL,6/16/2020,100.0,0.0
AL,6/17/2020,100.0,0.0
AL,6/18/2020,100.0,0.0
AL,6/21/2020,0.0,0.0
AL,6/23/2020,0.0,0.0
AL,6/24/2020,50.0,50.0
AL,6/25/2020,50.0,50.0
AL,6/26/2020,50.0,0.0
AL,6/27/2020,50.0,0.0
AL,6/28/2020,50.0,0.0
AL,6/29/2020,66.66666666666667,33.333333333333336
AL,6/30/2020,75.0,50.0
AL,7/1/2020,33.333333333333336,33.333333333333336
AL,7/2/2020,50.0,25.0
AL,7/3/2020,33.333333333333336,0.0
AL,7/4/2020,50.0,100.0
AL,7/5/2020,50.0,50.0
AL,7/6/2020,0.0,0.0
AL,7/7/2020,50.0,50.0
AL,7/8/2020,50.0,50.0
AL,7/10/2020,0.0,100.0
AL,7/12/2020,50.0,50.0
AL,7/14/2020,0.0,50.0
AL,7/16/2020,33.333333333333336,0.0
AL,7/17/2020,33.333333333333336,0.0
AL,7/18/2020,25.0,0.0
AL,7/20/2020,200.0,300.0
AL,7/22/2020,0.0,0.0
AL,7/23/2020,0.0,0.0
AL,7/25/2020,50.0,50.0
AL,7/31/2020,33.333333333333336,66.66666666666667
AL,8/1/2020,0.0,25.0
AL,8/2/2020,20.0,0.0
AL,8/3/2020,33.333333333333336,16.666666666666668
AL,8/6/2020,33.333333333333336,16.666666666666668
