Country,Date,One_day,Two_day
BY,4/18/2020,0.0,0.0
BY,4/19/2020,50.0,50.0
BY,4/21/2020,25.0,50.0
BY,4/22/2020,0.0,0.0
BY,4/23/2020,50.0,50.0
BY,4/24/2020,33.333333333333336,0.0
BY,4/25/2020,50.0,50.0
BY,4/26/2020,40.0,60.0
BY,4/28/2020,0.0,0.0
BY,4/29/2020,20.0,20.0
BY,4/30/2020,20.0,40.0
BY,5/1/2020,0.0,0.0
BY,5/2/2020,0.0,0.0
BY,5/5/2020,25.0,25.0
BY,5/6/2020,40.0,40.0
BY,5/7/2020,0.0,25.0
BY,5/8/2020,20.0,20.0
BY,5/9/2020,20.0,20.0
BY,5/10/2020,20.0,20.0
BY,5/11/2020,25.0,0.0
BY,5/14/2020,0.0,0.0
BY,5/15/2020,0.0,0.0
BY,5/16/2020,25.0,25.0
BY,5/17/2020,0.0,0.0
BY,5/18/2020,33.333333333333336,16.666666666666668
BY,5/20/2020,25.0,25.0
BY,5/22/2020,0.0,20.0
BY,5/23/2020,25.0,25.0
BY,5/25/2020,20.0,0.0
BY,5/26/2020,25.0,0.0
BY,5/28/2020,20.0,20.0
BY,5/29/2020,0.0,20.0
BY,5/30/2020,0.0,0.0
BY,5/31/2020,16.666666666666668,16.666666666666668
BY,6/1/2020,0.0,0.0
BY,6/4/2020,20.0,0.0
BY,6/5/2020,33.333333333333336,33.333333333333336
BY,6/8/2020,28.57142857142857,42.857142857142854
BY,6/9/2020,16.666666666666668,16.666666666666668
BY,6/10/2020,16.666666666666668,16.666666666666668
BY,6/11/2020,0.0,0.0
BY,6/12/2020,0.0,0.0
BY,6/13/2020,0.0,0.0
BY,6/14/2020,0.0,0.0
BY,6/15/2020,0.0,25.0
BY,6/17/2020,33.333333333333336,16.666666666666668
BY,6/18/2020,42.857142857142854,28.57142857142857
BY,6/19/2020,16.666666666666668,16.666666666666668
BY,6/20/2020,16.666666666666668,16.666666666666668
BY,6/23/2020,33.333333333333336,16.666666666666668
BY,6/24/2020,0.0,0.0
BY,6/25/2020,20.0,0.0
BY,6/26/2020,33.333333333333336,16.666666666666668
BY,6/30/2020,20.0,20.0
BY,7/1/2020,33.333333333333336,33.333333333333336
BY,7/2/2020,42.857142857142854,42.857142857142854
BY,7/3/2020,42.857142857142854,42.857142857142854
BY,7/4/2020,33.333333333333336,33.333333333333336
BY,7/5/2020,20.0,20.0
BY,7/6/2020,33.333333333333336,33.333333333333336
BY,7/7/2020,28.57142857142857,28.57142857142857
BY,7/8/2020,28.57142857142857,42.857142857142854
BY,7/9/2020,16.666666666666668,16.666666666666668
BY,7/10/2020,0.0,0.0
BY,7/11/2020,0.0,0.0
BY,7/12/2020,20.0,20.0
BY,7/13/2020,0.0,25.0
BY,7/15/2020,33.333333333333336,16.666666666666668
BY,7/16/2020,20.0,0.0
BY,7/17/2020,33.333333333333336,16.666666666666668
BY,7/19/2020,0.0,0.0
BY,7/20/2020,0.0,0.0
BY,7/21/2020,0.0,0.0
BY,7/23/2020,33.333333333333336,33.333333333333336
BY,7/24/2020,20.0,20.0
BY,7/25/2020,33.333333333333336,33.333333333333336
BY,7/27/2020,0.0,0.0
BY,7/28/2020,20.0,20.0
BY,7/29/2020,20.0,20.0
BY,7/30/2020,20.0,0.0
BY,7/31/2020,33.333333333333336,33.333333333333336
BY,8/2/2020,25.0,0.0
BY,8/3/2020,25.0,0.0
BY,8/4/2020,0.0,33.333333333333336
BY,8/5/2020,0.0,33.333333333333336
BY,8/6/2020,0.0,33.333333333333336
BY,8/7/2020,0.0,33.333333333333336
BY,8/8/2020,50.0,50.0
BY,8/9/2020,0.0,0.0
BY,8/10/2020,0.0,0.0
BY,8/11/2020,33.333333333333336,33.333333333333336
BY,8/12/2020,33.333333333333336,33.333333333333336
BY,8/13/2020,75.0,50.0
