Country,Date,One_day,Two_day
CF,5/31/2020,100.0,100.0
CF,6/1/2020,100.0,100.0
CF,6/6/2020,100.0,100.0
CF,6/12/2020,100.0,100.0
CF,6/17/2020,75.0,100.0
CF,6/18/2020,100.0,100.0
CF,6/21/2020,50.0,25.0
CF,6/22/2020,71.42857142857143,57.14285714285714
CF,6/23/2020,57.14285714285714,71.42857142857143
CF,6/25/2020,50.0,100.0
CF,6/27/2020,60.0,40.0
CF,6/29/2020,50.0,100.0
CF,7/3/2020,0.0,0.0
CF,7/6/2020,100.0,75.0
CF,7/10/2020,100.0,0.0
CF,7/18/2020,100.0,100.0
CF,7/22/2020,100.0,100.0
CF,7/23/2020,100.0,100.0
CF,7/24/2020,100.0,0.0
CF,8/9/2020,100.0,100.0
CF,8/11/2020,100.0,100.0
