Country,Date,One_day,Two_day
CM,4/21/2020,100.0,1000.0
CM,4/25/2020,100.0,100.0
CM,4/26/2020,0.0,100.0
CM,4/27/2020,150.0,150.0
CM,4/29/2020,100.0,0.0
CM,5/2/2020,66.66666666666667,66.66666666666667
CM,5/11/2020,81.81818181818181,100.0
CM,5/13/2020,36.36363636363637,27.272727272727273
CM,5/14/2020,100.0,133.33333333333334
CM,5/15/2020,600.0,500.0
CM,5/20/2020,100.0,83.33333333333333
CM,5/21/2020,90.0,100.0
CM,5/22/2020,0.0,66.66666666666667
CM,5/26/2020,50.0,60.0
CM,5/29/2020,50.0,50.0
CM,5/30/2020,92.85714285714286,78.57142857142857
CM,6/1/2020,62.5,50.0
CM,6/2/2020,400.0,200.0
CM,6/4/2020,100.0,100.0
CM,6/5/2020,50.0,200.0
CM,6/6/2020,57.14285714285714,57.14285714285714
CM,6/20/2020,47.368421052631575,26.315789473684212
CM,6/21/2020,150.0,450.0
CM,6/22/2020,140.0,20.0
CM,6/23/2020,160.0,160.0
CM,7/21/2020,88.8888888888889,88.8888888888889
CM,7/24/2020,33.333333333333336,0.0
CM,7/27/2020,83.33333333333333,83.33333333333333
CM,8/8/2020,100.0,100.0
CM,8/11/2020,100.0,66.66666666666667
CM,8/12/2020,66.66666666666667,66.66666666666667
