Country,Date,One_day,Two_day
CU,4/19/2020,50.0,50.0
CU,4/20/2020,0.0,50.0
CU,4/21/2020,100.0,50.0
CU,4/22/2020,0.0,50.0
CU,4/23/2020,33.333333333333336,33.333333333333336
CU,4/27/2020,50.0,100.0
CU,4/28/2020,0.0,50.0
CU,4/30/2020,66.66666666666667,33.333333333333336
CU,5/1/2020,33.333333333333336,66.66666666666667
CU,5/2/2020,0.0,50.0
CU,5/3/2020,100.0,100.0
CU,5/4/2020,50.0,0.0
CU,5/13/2020,0.0,0.0
CU,5/21/2020,100.0,100.0
CU,5/22/2020,100.0,100.0
CU,5/30/2020,100.0,100.0
CU,6/11/2020,100.0,100.0
CU,6/18/2020,100.0,100.0
CU,6/27/2020,100.0,100.0
CU,7/11/2020,100.0,100.0
CU,8/4/2020,100.0,100.0
CU,8/13/2020,100.0,100.0
