Country,Date,One_day,Two_day
GA,4/24/2020,100.0,100.0
GA,5/2/2020,100.0,100.0
GA,5/4/2020,0.0,0.0
GA,5/7/2020,100.0,100.0
GA,5/11/2020,100.0,100.0
GA,5/14/2020,100.0,100.0
GA,5/16/2020,100.0,100.0
GA,5/19/2020,100.0,100.0
GA,5/25/2020,100.0,100.0
GA,5/29/2020,100.0,100.0
GA,5/30/2020,100.0,100.0
GA,6/2/2020,100.0,100.0
GA,6/10/2020,100.0,100.0
GA,6/11/2020,100.0,100.0
GA,6/17/2020,0.0,0.0
GA,6/18/2020,50.0,50.0
GA,6/19/2020,50.0,0.0
GA,6/29/2020,100.0,50.0
GA,7/3/2020,100.0,100.0
GA,7/6/2020,100.0,50.0
GA,7/22/2020,100.0,100.0
GA,7/24/2020,100.0,100.0
GA,8/1/2020,100.0,100.0
GA,8/3/2020,100.0,100.0
