Country,Date,One_day,Two_day
IL,4/20/2020,42.857142857142854,57.14285714285714
IL,4/21/2020,71.42857142857143,57.14285714285714
IL,4/22/2020,40.0,40.0
IL,4/23/2020,100.0,100.0
IL,4/24/2020,100.0,200.0
IL,4/25/2020,60.0,20.0
IL,4/27/2020,0.0,0.0
IL,4/28/2020,50.0,50.0
IL,4/29/2020,20.0,60.0
IL,4/30/2020,42.857142857142854,42.857142857142854
IL,5/1/2020,100.0,66.66666666666667
IL,5/2/2020,25.0,50.0
IL,5/3/2020,33.333333333333336,66.66666666666667
IL,5/4/2020,0.0,0.0
IL,5/5/2020,0.0,0.0
IL,5/6/2020,200.0,200.0
IL,5/7/2020,100.0,200.0
IL,5/8/2020,80.0,60.0
IL,5/9/2020,0.0,50.0
IL,5/10/2020,40.0,40.0
IL,5/11/2020,33.333333333333336,50.0
IL,5/12/2020,100.0,50.0
IL,5/13/2020,25.0,25.0
IL,5/14/2020,200.0,300.0
IL,5/15/2020,100.0,200.0
IL,5/16/2020,0.0,0.0
IL,5/17/2020,75.0,50.0
IL,5/18/2020,50.0,75.0
IL,5/19/2020,0.0,0.0
IL,5/20/2020,100.0,100.0
IL,5/25/2020,100.0,50.0
IL,5/31/2020,100.0,100.0
IL,6/2/2020,100.0,100.0
IL,6/3/2020,0.0,100.0
IL,6/6/2020,75.0,75.0
IL,6/7/2020,33.333333333333336,66.66666666666667
IL,6/9/2020,0.0,0.0
IL,6/11/2020,0.0,0.0
IL,6/15/2020,100.0,100.0
IL,6/17/2020,100.0,0.0
IL,6/19/2020,100.0,0.0
IL,6/20/2020,100.0,0.0
IL,6/21/2020,100.0,100.0
IL,6/22/2020,100.0,0.0
IL,6/23/2020,0.0,0.0
IL,6/25/2020,100.0,0.0
IL,6/26/2020,100.0,60.0
IL,6/27/2020,66.66666666666667,66.66666666666667
IL,6/28/2020,0.0,0.0
IL,6/29/2020,0.0,100.0
IL,6/30/2020,0.0,100.0
IL,7/1/2020,0.0,0.0
IL,7/2/2020,0.0,0.0
IL,7/3/2020,0.0,0.0
IL,7/4/2020,25.0,25.0
IL,7/5/2020,100.0,200.0
IL,7/6/2020,33.333333333333336,33.333333333333336
IL,7/9/2020,0.0,25.0
IL,7/10/2020,33.333333333333336,33.333333333333336
IL,7/11/2020,33.333333333333336,66.66666666666667
IL,7/14/2020,16.666666666666668,0.0
IL,7/15/2020,20.0,40.0
IL,7/16/2020,37.5,12.5
IL,7/17/2020,25.0,25.0
IL,7/18/2020,33.333333333333336,22.222222222222218
IL,7/19/2020,12.5,0.0
IL,7/20/2020,33.333333333333336,50.0
IL,7/21/2020,30.0,10.0
IL,7/25/2020,11.111111111111109,22.222222222222218
IL,7/26/2020,30.76923076923077,23.07692307692308
IL,7/30/2020,11.111111111111109,0.0
IL,7/31/2020,50.0,25.0
IL,8/1/2020,50.0,50.0
IL,8/2/2020,20.0,30.0
IL,8/3/2020,20.0,20.0
IL,8/11/2020,0.0,0.0
