Country,Date,One_day,Two_day
JO,4/20/2020,37.5,62.5
JO,4/21/2020,100.0,66.66666666666667
JO,4/22/2020,28.57142857142857,14.285714285714285
JO,4/23/2020,200.0,200.0
JO,4/24/2020,0.0,25.0
JO,4/25/2020,33.333333333333336,66.66666666666667
JO,4/27/2020,50.0,50.0
JO,4/29/2020,100.0,0.0
JO,4/30/2020,50.0,50.0
JO,5/1/2020,83.33333333333333,83.33333333333333
JO,5/2/2020,200.0,0.0
JO,5/3/2020,200.0,300.0
JO,5/4/2020,50.0,0.0
JO,5/5/2020,66.66666666666667,83.33333333333333
JO,5/6/2020,50.0,0.0
JO,5/8/2020,14.285714285714285,71.42857142857143
JO,5/9/2020,7.142857142857142,7.142857142857142
JO,5/10/2020,11.111111111111109,16.666666666666668
JO,5/11/2020,31.818181818181817,36.36363636363637
JO,5/12/2020,28.57142857142857,14.285714285714285
JO,5/13/2020,216.66666666666663,233.33333333333331
JO,5/14/2020,350.0,375.0
JO,5/15/2020,50.0,120.0
JO,5/16/2020,9.090909090909092,63.63636363636363
JO,5/17/2020,33.333333333333336,133.33333333333334
JO,5/19/2020,55.0,60.0
JO,5/20/2020,43.47826086956522,52.17391304347826
JO,5/22/2020,6.25,6.25
JO,5/25/2020,366.66666666666674,533.3333333333334
JO,5/26/2020,0.0,142.85714285714286
JO,5/27/2020,50.0,300.0
JO,5/28/2020,87.5,50.0
JO,5/29/2020,1750.0,0.0
JO,5/30/2020,775.0,900.0
JO,5/31/2020,620.0,680.0
JO,6/1/2020,385.71428571428567,471.4285714285714
JO,6/2/2020,277.77777777777777,355.5555555555556
JO,6/3/2020,100.0,1900.0
JO,6/4/2020,50.0,37.5
JO,6/6/2020,18.181818181818183,45.45454545454545
JO,6/7/2020,30.76923076923077,30.76923076923077
JO,6/10/2020,22.222222222222218,16.666666666666668
JO,6/12/2020,20.0,36.0
JO,6/17/2020,250.0,433.33333333333326
JO,6/18/2020,7.142857142857142,57.14285714285714
JO,6/19/2020,42.857142857142854,142.85714285714286
JO,6/20/2020,28.57142857142857,42.857142857142854
JO,6/23/2020,80.0,120.0
JO,6/26/2020,38.888888888888886,38.888888888888886
JO,6/28/2020,10.0,20.0
JO,6/29/2020,57.14285714285714,71.42857142857143
JO,6/30/2020,150.0,200.0
JO,7/1/2020,800.0,1000.0
JO,7/2/2020,166.66666666666666,200.0
JO,7/3/2020,45.45454545454545,9.090909090909092
JO,7/4/2020,100.0,133.33333333333334
JO,7/7/2020,100.0,200.0
JO,7/10/2020,50.0,25.0
JO,7/11/2020,33.333333333333336,0.0
JO,7/12/2020,33.333333333333336,33.333333333333336
JO,7/13/2020,50.0,50.0
JO,7/16/2020,40.0,20.0
JO,7/17/2020,33.333333333333336,33.333333333333336
JO,7/18/2020,0.0,20.0
JO,7/19/2020,0.0,25.0
JO,7/20/2020,0.0,20.0
JO,7/22/2020,42.857142857142854,14.285714285714285
JO,7/23/2020,63.63636363636363,127.27272727272728
JO,7/24/2020,80.0,120.0
JO,7/25/2020,75.0,137.5
JO,7/26/2020,92.85714285714286,107.14285714285714
JO,7/27/2020,100.0,112.5
JO,7/28/2020,83.33333333333333,83.33333333333333
JO,7/29/2020,80.0,60.0
JO,7/30/2020,200.0,25.0
JO,7/31/2020,350.0,550.0
JO,8/3/2020,20.0,60.0
JO,8/4/2020,50.0,16.666666666666668
JO,8/5/2020,57.14285714285714,28.57142857142857
JO,8/6/2020,200.0,100.0
JO,8/7/2020,60.0,20.0
JO,8/8/2020,77.77777777777777,66.66666666666667
JO,8/9/2020,33.333333333333336,50.0
JO,8/11/2020,53.33333333333334,66.66666666666667
JO,8/12/2020,45.0,60.0
JO,8/13/2020,35.29411764705883,29.411764705882355
