Country,Date,One_day,Two_day
LT,4/20/2020,0.0,100.0
LT,4/21/2020,100.0,0.0
LT,4/23/2020,100.0,50.0
LT,4/25/2020,0.0,0.0
LT,5/2/2020,56200.0,100.0
LT,5/6/2020,100.0,100.0
LT,5/7/2020,100.0,100.0
LT,5/10/2020,100.0,100.0
LT,5/17/2020,100.0,100.0
LT,5/21/2020,0.0,0.0
LT,5/23/2020,100.0,50.0
LT,5/26/2020,100.0,100.0
LT,5/27/2020,100.0,100.0
LT,5/28/2020,100.0,100.0
LT,5/30/2020,100.0,100.0
LT,6/2/2020,100.0,100.0
LT,6/9/2020,100.0,100.0
LT,6/10/2020,100.0,100.0
LT,6/13/2020,100.0,100.0
LT,6/15/2020,100.0,0.0
LT,6/23/2020,100.0,100.0
LT,6/24/2020,100.0,100.0
LT,7/3/2020,100.0,100.0
LT,7/18/2020,100.0,100.0
LT,8/5/2020,100.0,100.0
