Country,Date,One_day,Two_day
MR,5/15/2020,0.0,100.0
MR,5/16/2020,100.0,0.0
MR,5/21/2020,0.0,200.0
MR,5/22/2020,100.0,0.0
MR,5/25/2020,100.0,100.0
MR,5/26/2020,75.0,100.0
MR,5/27/2020,66.66666666666667,66.66666666666667
MR,5/28/2020,33.333333333333336,66.66666666666667
MR,5/29/2020,200.0,100.0
MR,5/31/2020,0.0,33.333333333333336
MR,6/4/2020,40.0,60.0
MR,6/5/2020,0.0,25.0
MR,6/6/2020,16.666666666666668,33.333333333333336
MR,6/7/2020,0.0,16.666666666666668
MR,6/8/2020,50.0,50.0
MR,6/9/2020,200.0,200.0
MR,6/14/2020,25.0,50.0
MR,6/15/2020,50.0,25.0
MR,6/16/2020,100.0,250.0
MR,6/17/2020,100.0,150.0
MR,6/18/2020,50.0,200.0
MR,6/20/2020,50.0,33.333333333333336
MR,6/22/2020,300.0,400.0
MR,6/23/2020,50.0,150.0
MR,6/24/2020,50.0,100.0
MR,6/25/2020,0.0,33.333333333333336
MR,6/26/2020,200.0,300.0
MR,6/27/2020,200.0,300.0
MR,6/30/2020,100.0,200.0
MR,7/5/2020,0.0,0.0
MR,7/6/2020,66.66666666666667,66.66666666666667
MR,7/7/2020,100.0,50.0
MR,7/8/2020,100.0,75.0
MR,7/9/2020,80.0,80.0
MR,7/11/2020,100.0,100.0
MR,7/15/2020,50.0,0.0
MR,7/16/2020,0.0,100.0
MR,7/17/2020,0.0,100.0
MR,7/18/2020,100.0,50.0
MR,7/19/2020,100.0,50.0
MR,7/23/2020,100.0,0.0
MR,7/30/2020,100.0,100.0
