Country,Date,One_day,Two_day
PK,4/19/2020,29.295774647887324,51.12676056338028
PK,4/20/2020,49.60767218831736,62.94681778552746
PK,4/21/2020,66.69572798605057,42.894507410636436
PK,4/22/2020,60.66536203522505,24.65753424657534
PK,4/23/2020,36.79332715477294,32.066728452270624
PK,4/24/2020,28.280254777070066,2.929936305732484
PK,4/25/2020,7.2796934865900385,12.005108556832695
PK,4/27/2020,55.5366269165247,38.50085178875639
PK,4/28/2020,9.899569583931132,43.90243902439025
PK,4/29/2020,29.02519167579409,32.85870755750274
PK,4/30/2020,41.1764705882353,49.535603715170275
PK,5/1/2020,21.81958365458751,37.16268311488049
PK,5/2/2020,12.942366026289179,13.144590495449949
PK,5/3/2020,26.80937818552497,28.95005096839959
PK,5/4/2020,21.936989498249712,42.24037339556593
PK,5/5/2020,18.862815884476536,8.393501805054152
PK,5/6/2020,49.45652173913044,54.59486166007906
PK,5/8/2020,17.587939698492466,9.156895589056393
PK,5/9/2020,27.64015645371577,34.463276836158194
PK,5/10/2020,6.570713391739675,14.705882352941178
PK,5/11/2020,15.226101888952492,14.253005151688606
PK,5/12/2020,15.476718403547672,9.534368070953438
PK,5/13/2020,102.4948024948025,83.16008316008316
PK,5/14/2020,342.2448979591837,315.1020408163265
PK,5/18/2020,35.91691995947315,21.681864235055727
PK,5/19/2020,17.816404128191206,29.54915806626833
PK,5/20/2020,4.503105590062113,19.358178053830226
PK,5/21/2020,28.499772001823985,12.585499316005473
PK,5/22/2020,20.20745293891664,37.764118325009605
PK,5/23/2020,36.087205966724035,23.809523809523807
PK,5/25/2020,28.83295194508009,41.53318077803203
PK,5/26/2020,71.82890855457227,71.7551622418879
PK,5/27/2020,45.850622406639005,66.80497925311204
PK,5/28/2020,12.235067437379575,4.672447013487477
PK,5/29/2020,32.55980007140307,33.38093538022135
PK,5/30/2020,18.23795800741045,20.008233841086867
PK,5/31/2020,30.536360644949003,33.13589996709444
PK,6/1/2020,14.60863697705803,27.63157894736842
PK,6/2/2020,25.393600812595228,34.281361097003554
PK,6/3/2020,15.129151291512914,25.658056580565805
PK,6/4/2020,21.766298687773386,25.494688606540304
PK,6/5/2020,10.589711417816813,1.7565872020075282
PK,6/6/2020,1.8588931136459652,1.9433882551753277
PK,6/7/2020,2.681451612903226,1.1088709677419355
PK,6/16/2020,10.15584860421305,20.00342524404864
PK,6/17/2020,20.08212019410228,22.50839865621501
PK,6/18/2020,59.041262135922324,33.05016181229774
PK,6/21/2020,34.60076045627376,40.19235070454037
PK,6/22/2020,78.07906741003549,57.29853015712114
PK,6/23/2020,44.16752312435765,86.56217882836587
PK,6/24/2020,33.35806132542037,41.91394658753709
PK,6/25/2020,81.65765765765765,98.37837837837836
PK,6/26/2020,46.845124282982795,63.193116634799225
PK,6/27/2020,6.4341846758349694,14.341846758349705
PK,6/28/2020,9.418048917627212,22.743885296598254
PK,6/29/2020,32.24778761061947,37.876106194690266
PK,6/30/2020,15.14638277280426,9.581417856278733
PK,7/1/2020,17.354229085042633,19.221018667895827
PK,7/2/2020,10.643503792512846,12.331783704428675
PK,7/4/2020,6.9087688219663415,2.273398287570121
PK,7/7/2020,8.053691275167786,9.463087248322148
PK,7/8/2020,5.5671330753200365,5.626674605537362
PK,7/9/2020,13.12250090876045,13.12250090876045
PK,7/10/2020,7.739825581395348,10.501453488372093
PK,7/11/2020,12.8520428401428,14.756049186830625
PK,7/12/2020,13.294587722484565,1.2350163458045769
PK,7/13/2020,52.551793835270345,54.168772107124816
PK,7/14/2020,8.036951501154734,37.136258660508076
PK,7/15/2020,8.811188811188812,6.247086247086247
PK,7/20/2020,368.1145113524186,37.61105626850938
PK,7/21/2020,2.702702702702702,253.67867867867864
PK,7/22/2020,23.36925694838344,26.6023823028928
PK,7/23/2020,12.985938792390403,6.451612903225807
PK,7/24/2020,19.502353732347007,12.710154673839948
PK,7/25/2020,25.77487765089723,7.830342577487764
PK,7/27/2020,34.35374149659864,30.952380952380953
PK,7/28/2020,20.726495726495727,22.756410256410252
PK,7/29/2020,26.622765757290694,35.18344308560677
PK,7/30/2020,29.71274685816876,35.00897666068223
PK,7/31/2020,10.6312292358804,19.712070874861574
PK,8/2/2020,47.34576757532281,43.54375896700144
PK,8/3/2020,1.9685039370078738,5.2493438320209975
PK,8/5/2020,10.518518518518519,26.222222222222218
PK,8/6/2020,17.1939477303989,1.6506189821182944
PK,8/7/2020,28.51662404092072,25.447570332480822
PK,8/8/2020,39.07363420427553,35.39192399049882
PK,8/9/2020,18.611987381703468,21.766561514195587
PK,8/10/2020,10.389610389610391,7.792207792207793
PK,8/11/2020,1.6949152542372878,7.7212806026365355
PK,8/12/2020,26.164383561643834,29.17808219178082
PK,8/13/2020,21.912350597609557,30.942895086321386
