Country,Date,One_day,Two_day
SM,4/21/2020,71.42857142857143,0.0
SM,4/22/2020,25.0,41.66666666666666
SM,4/23/2020,30.76923076923077,38.46153846153846
SM,4/24/2020,8.333333333333334,16.666666666666668
SM,4/29/2020,50.0,40.0
SM,4/30/2020,50.0,33.333333333333336
SM,5/1/2020,27.272727272727273,9.090909090909092
SM,5/5/2020,85.71428571428571,71.42857142857143
SM,5/7/2020,28.57142857142857,71.42857142857143
SM,5/12/2020,70.0,40.0
SM,5/13/2020,80.0,100.0
SM,5/14/2020,40.0,0.0
SM,5/15/2020,75.0,25.0
SM,5/16/2020,200.0,100.0
SM,5/17/2020,200.0,400.0
SM,5/19/2020,0.0,200.0
SM,5/20/2020,100.0,100.0
SM,5/21/2020,50.0,50.0
SM,5/22/2020,100.0,66.66666666666667
SM,5/23/2020,100.0,100.0
SM,5/25/2020,0.0,100.0
SM,5/27/2020,100.0,0.0
SM,5/28/2020,100.0,66.66666666666667
SM,5/29/2020,100.0,0.0
SM,6/2/2020,100.0,100.0
SM,6/3/2020,50.0,50.0
SM,6/4/2020,100.0,100.0
SM,6/5/2020,50.0,100.0
SM,6/8/2020,100.0,71.42857142857143
SM,6/9/2020,0.0,100.0
SM,6/10/2020,100.0,33.333333333333336
SM,6/12/2020,66.66666666666667,66.66666666666667
SM,6/17/2020,50.0,100.0
SM,6/22/2020,100.0,100.0
SM,6/23/2020,0.0,200.0
SM,7/9/2020,100.0,100.0
