Country,Date,One_day,Two_day
SR,6/12/2020,100.0,100.0
SR,6/15/2020,100.0,100.0
SR,6/16/2020,100.0,100.0
SR,6/18/2020,100.0,0.0
SR,6/19/2020,100.0,0.0
SR,6/23/2020,100.0,0.0
SR,6/24/2020,100.0,0.0
SR,6/27/2020,100.0,100.0
SR,6/29/2020,100.0,50.0
SR,7/4/2020,100.0,100.0
SR,7/7/2020,100.0,100.0
SR,7/8/2020,100.0,100.0
SR,7/10/2020,100.0,100.0
SR,7/17/2020,100.0,100.0
SR,7/18/2020,100.0,100.0
SR,7/19/2020,100.0,100.0
SR,7/23/2020,100.0,100.0
SR,7/27/2020,100.0,0.0
SR,7/29/2020,100.0,100.0
SR,8/2/2020,100.0,100.0
SR,8/6/2020,100.0,100.0
SR,8/10/2020,100.0,100.0
