Country,Date,Current,One_day,Two_days
ZW,4/19/2020,0,0,0
ZW,4/20/2020,0,0,0
ZW,4/21/2020,0,0,0
ZW,4/22/2020,1,0,0
ZW,4/23/2020,0,0,0
ZW,4/24/2020,0,0,0
ZW,4/25/2020,0,0,0
ZW,4/26/2020,0,0,0
ZW,4/27/2020,0,0,0
ZW,4/28/2020,0,0,0
ZW,4/29/2020,0,0,0
ZW,4/30/2020,0,0,0
ZW,5/1/2020,0,0,0
ZW,5/2/2020,0,0,0
ZW,5/3/2020,0,0,0
ZW,5/4/2020,0,0,0
ZW,5/5/2020,0,0,0
ZW,5/6/2020,0,0,0
ZW,5/7/2020,0,0,0
ZW,5/8/2020,0,0,0
ZW,5/9/2020,0,0,0
ZW,5/10/2020,0,0,0
ZW,5/11/2020,0,0,0
ZW,5/12/2020,0,0,0
ZW,5/13/2020,0,0,0
ZW,5/14/2020,0,0,0
ZW,5/15/2020,0,0,0
ZW,5/16/2020,0,0,0
ZW,5/17/2020,0,0,0
ZW,5/18/2020,0,0,0
ZW,5/19/2020,0,0,0
ZW,5/20/2020,0,0,0
ZW,5/21/2020,0,0,0
ZW,5/22/2020,0,0,0
ZW,5/23/2020,0,0,0
ZW,5/25/2020,0,0,0
ZW,5/26/2020,0,0,0
ZW,5/27/2020,0,0,0
ZW,5/28/2020,0,0,0
ZW,5/29/2020,0,0,0
ZW,5/30/2020,0,0,0
ZW,5/31/2020,0,0,0
ZW,6/1/2020,0,0,0
ZW,6/2/2020,0,0,0
ZW,6/3/2020,0,0,0
ZW,6/4/2020,0,0,0
ZW,6/5/2020,0,0,0
ZW,6/6/2020,0,0,0
ZW,6/7/2020,0,0,0
ZW,6/8/2020,0,0,0
ZW,6/9/2020,0,0,0
ZW,6/10/2020,0,0,0
ZW,6/11/2020,0,0,0
ZW,6/12/2020,0,0,0
ZW,6/13/2020,0,0,0
ZW,6/14/2020,0,0,0
ZW,6/15/2020,0,0,0
ZW,6/16/2020,0,0,0
ZW,6/17/2020,0,0,0
ZW,6/18/2020,0,0,0
ZW,6/19/2020,0,0,0
ZW,6/20/2020,0,0,0
ZW,6/21/2020,2,0,0
ZW,6/22/2020,0,0,0
ZW,6/23/2020,0,0,0
ZW,6/24/2020,0,0,0
ZW,6/25/2020,0,0,0
ZW,6/26/2020,0,0,0
ZW,6/27/2020,0,0,0
ZW,6/28/2020,0,0,0
ZW,6/29/2020,1,0,0
ZW,6/30/2020,0,0,0
ZW,7/1/2020,0,0,0
ZW,7/2/2020,0,0,0
ZW,7/3/2020,0,0,0
ZW,7/4/2020,1,0,0
ZW,7/5/2020,0,0,0
ZW,7/6/2020,1,0,0
ZW,7/7/2020,0,0,0
ZW,7/8/2020,0,0,0
ZW,7/9/2020,0,0,0
ZW,7/10/2020,4,0,0
ZW,7/11/2020,5,0,0
ZW,7/12/2020,0,1,1
ZW,7/13/2020,1,1,2
ZW,7/14/2020,1,1,1
ZW,7/15/2020,0,1,2
ZW,7/16/2020,3,1,2
ZW,7/17/2020,1,2,1
ZW,7/18/2020,1,2,3
ZW,7/19/2020,0,2,3
ZW,7/20/2020,1,1,2
ZW,7/21/2020,0,1,1
ZW,7/22/2020,0,1,2
ZW,7/23/2020,2,1,2
ZW,7/24/2020,4,1,1
ZW,7/25/2020,2,1,2
ZW,7/26/2020,0,1,2
ZW,7/27/2020,2,1,2
ZW,7/28/2020,4,1,2
ZW,7/29/2020,1,2,2
ZW,7/30/2020,12,2,2
ZW,7/31/2020,14,3,2
ZW,8/1/2020,2,5,4
ZW,8/2/2020,1,5,5
ZW,8/3/2020,10,6,7
ZW,8/4/2020,1,7,6
ZW,8/5/2020,0,7,8
ZW,8/6/2020,3,6,8
ZW,8/7/2020,18,7,7
ZW,8/8/2020,0,7,7
ZW,8/9/2020,2,4,7
ZW,8/10/2020,0,4,5
ZW,8/11/2020,0,4,5
