Country name,Pearson's correlation,P-value of pearson's correlation,Comment on pearson's correlation,Spearsman's correlation,P-value of spearman's correlation,Comment on spearsman's correlation,Kendall's correlation,P-value of kendall's correlation,Comment on kendall's correlation
Afghanistan,-0.209,0.338,uncorrelated,-0.210,0.337,uncorrelated,-0.139,0.366,uncorrelated
Albania,-0.321,0.090,uncorrelated,-0.305,0.107,uncorrelated,-0.243,0.071,uncorrelated
Algeria,0.366,0.036,correlated,0.343,0.051,uncorrelated,0.189,0.128,uncorrelated
Andorra,0.517,0.014,correlated,0.498,0.018,correlated,0.359,0.022,correlated
Argentina,0.347,0.070,uncorrelated,0.519,0.005,correlated,0.401,0.003,correlated
Armenia,-0.163,0.408,uncorrelated,-0.230,0.240,uncorrelated,-0.146,0.284,uncorrelated
Australia,0.126,0.431,uncorrelated,0.336,0.032,correlated,0.168,0.128,uncorrelated
Austria,-0.171,0.291,uncorrelated,-0.125,0.443,uncorrelated,-0.093,0.401,uncorrelated
Azerbaijan,-0.466,0.019,correlated,-0.303,0.141,uncorrelated,-0.197,0.174,uncorrelated
Bahrain,-0.299,0.072,uncorrelated,-0.313,0.060,uncorrelated,-0.236,0.045,correlated
Bangladesh,-0.200,0.384,uncorrelated,-0.092,0.693,uncorrelated,-0.088,0.600,uncorrelated
Belarus,-0.693,0.001,correlated,-0.610,0.006,correlated,-0.428,0.012,correlated
Belgium,-0.712,0.000,correlated,-0.551,0.000,correlated,-0.371,0.001,correlated
Bolivia,0.192,0.380,uncorrelated,0.066,0.766,uncorrelated,0.056,0.726,uncorrelated
Bosnia and Herzegovina,-0.490,0.006,correlated,-0.366,0.046,correlated,-0.263,0.047,correlated
Brazil,0.422,0.014,correlated,0.394,0.023,correlated,0.288,0.023,correlated
Brunei,0.298,0.148,uncorrelated,0.084,0.689,uncorrelated,0.066,0.667,uncorrelated
Bulgaria,0.159,0.428,uncorrelated,0.220,0.271,uncorrelated,0.183,0.187,uncorrelated
Burkina Faso,0.308,0.143,uncorrelated,0.416,0.043,correlated,0.254,0.093,uncorrelated
Cabo Verde,-0.104,0.844,uncorrelated,-0.133,0.802,uncorrelated,-0.120,0.766,uncorrelated
Cambodia,-0.086,0.725,uncorrelated,-0.102,0.678,uncorrelated,-0.054,0.770,uncorrelated
Canada,-0.347,0.018,correlated,-0.437,0.002,correlated,-0.316,0.003,correlated
Chile,0.196,0.267,uncorrelated,0.220,0.211,uncorrelated,0.161,0.186,uncorrelated
China,0.121,0.334,uncorrelated,0.330,0.007,correlated,0.224,0.008,correlated
Colombia,0.486,0.009,correlated,0.473,0.011,correlated,0.303,0.027,correlated
Congo (Brazzaville),0.238,0.649,uncorrelated,0.290,0.577,uncorrelated,0.276,0.444,uncorrelated
Congo (Kinshasa),-0.083,0.734,uncorrelated,-0.046,0.853,uncorrelated,-0.055,0.750,uncorrelated
Costa Rica,-0.153,0.421,uncorrelated,-0.269,0.151,uncorrelated,-0.200,0.139,uncorrelated
Cote d'Ivoire,0.020,0.936,uncorrelated,0.126,0.606,uncorrelated,0.098,0.571,uncorrelated
Croatia,-0.231,0.175,uncorrelated,-0.283,0.095,uncorrelated,-0.199,0.095,uncorrelated
Cuba,-0.236,0.279,uncorrelated,-0.107,0.628,uncorrelated,-0.121,0.438,uncorrelated
Cyprus,-0.425,0.030,correlated,-0.430,0.028,correlated,-0.268,0.060,uncorrelated
Denmark,-0.590,0.000,correlated,-0.435,0.008,correlated,-0.273,0.021,correlated
Dominican Republic,-0.283,0.191,uncorrelated,-0.419,0.046,correlated,-0.323,0.037,correlated
Ecuador,-0.217,0.249,uncorrelated,-0.141,0.456,uncorrelated,-0.112,0.399,uncorrelated
Egypt,-0.337,0.055,uncorrelated,-0.327,0.063,uncorrelated,-0.223,0.074,uncorrelated
Estonia,0.002,0.991,uncorrelated,-0.018,0.923,uncorrelated,-0.013,0.918,uncorrelated
Finland,0.017,0.922,uncorrelated,0.099,0.567,uncorrelated,0.065,0.585,uncorrelated
France,-0.357,0.018,correlated,-0.280,0.065,uncorrelated,-0.198,0.062,uncorrelated
