Countryname,Population,Totaltests,Deathrate
Afghanistan,39050267,101208,3.650076207494613
Albania,2877325,51658,2.966654800047466
Andorra,77283,137457,5.071770334928228
Angola,33004010,64747,4.4219253800092115
Argentina,45256129,1105878,2.06895140784559
Armenia,2964068,195574,1.994162288382954
Aruba,106833,18756,0.4464285714285714
Australia,25542602,5757173,2.0749719056028253
Austria,9013960,1101206,2.875073543832124
Azerbaijan,10152484,878667,1.4650256873482754
Bahamas,393790,9068,1.6430594900849858
Bahrain,1709432,1039571,0.3729981755524022
Bangladesh,164927553,1456038,1.3407027665669191
Barbados,287427,15717,4.3478260869565215
Belarus,9448857,1477939,0.9144313114870124
Belgium,11597076,2135402,12.194883811755517
Belize,398647,6458,0.8746355685131195
Benin,12166775,107057,1.8439716312056735
Bermuda,62243,37879,5.389221556886229
Bolivia,11695856,231259,4.131050215760108
Bosnia,3277707,174907,3.0340007765267067
Botswana,2358285,93420,0.22935779816513766
Brazil,212780766,14144344,3.1829979785250524
Brunei,438088,49519,2.097902097902098
Bulgaria,6940439,370786,3.5651206907830177
Burundi,11938736,19993,0.2325581395348837
Cabo Verde,556861,74177,1.054431461954973
Cameroon,26636974,149000,2.1746082507195394
Canada,37790375,5115490,7.2644440174224965
Cayman Islands,65833,34208,0.4878048780487805
Central African Republic,4841657,30775,1.3036973712331694
Channel Islands,174096,68985,7.81758957654723
Chile,19140127,2204009,2.728930129631725
China,1439323776,90410000,5.4538820954017435
Colombia,50961438,2474417,3.1998699059590097
Costa Rica,5100889,133005,1.0496747486694264
Croatia,4101407,152824,2.0815786307303568
Cuba,11325579,361092,2.4714828897338403
Cyprus,1208646,280445,1.4074595355383532
Czechia,10711939,840008,1.879304839666104
Côte d'Ivoire,26468381,120299,0.6467861026844485
Denmark,5795224,2211377,3.799475513813502
Djibouti,990054,64670,1.1148272017837235
Dominican Republic,10863697,343796,1.7189368260550015
Ecuador,17681275,306934,5.855116035223488
Egypt,102606311,135000,5.405794123690158
El Salvador,6491031,298112,2.6963846680907664
Equatorial Guinea,1409153,50481,1.6849370686155096
Estonia,1326668,140985,2.813186813186813
Ethiopia,115356404,757057,1.6670354798259204
Finland,5542003,551715,4.220206601158982
France,65294995,6000000,12.562011370981354
French Guiana,299745,49036,0.6252131408434694
Gabon,2233009,107403,0.631855030996662
Gambia,2425919,10781,3.2402234636871508
Georgia,3988014,341166,1.2667135819845181
Germany,83823671,10197366,3.9677951403648977
Ghana,31163671,433503,0.6029067901517583
Greece,10415320,848380,2.793167128347184
Guadeloupe,400134,26290,1.9455252918287935
Guatemala,17962314,221235,3.8041884202498975
Guinea,13181511,20701,0.5991345833795628
Guyana,787112,6904,3.2460732984293195
Haiti,11422559,22304,2.4251422915120022
Honduras,9927026,132242,3.0342499678963883
Hong Kong,7505863,780415,1.6410912190963345
Hungary,9656650,398550,11.808900019264113
Iceland,341568,200733,0.482392667631452
India,1381974682,35902137,1.851873177828576
Indonesia,273942627,2036771,4.349085012740328
Iran,84147556,3062422,5.752734320919286
Iraq,40348050,1433626,3.1457221017808465
Ireland,4945761,767359,6.353462762344023
Isle of Man,85099,9483,7.142857142857142
Israel,9197590,2180096,0.8124019598350021
Italy,60448454,8007637,13.664038250207252
Jamaica,2963077,53390,1.0464355788096795
Japan,126417954,1321079,1.9045459698446887
Jordan,10217839,745100,0.7458048477315102
Kazakhstan,18809096,2291327,1.3512481139823145
Kenya,53936302,425364,1.7016309856559264
Kuwait,4279593,590623,0.6398221343873518
Kyrgyzstan,6539483,267718,2.450957658952836
Latvia,1882974,238403,2.468212415856395
Lebanon,6820807,462531,0.9686564813356434
Lesotho,2144730,13330,2.955665024630542
Libyan Arab Jamahiriya,6884694,96524,1.8076119538559359
Liechtenstein,38144,900,1.0
Lithuania,2716370,608767,3.179947624392069
Luxembourg,627426,724452,1.594855305466238
Macedonia,2083361,138325,4.154172456666423
Madagascar,27788881,55375,1.2359394528537702
Malawi,19197875,42607,3.1030661248614706
Malaysia,32425633,1182845,1.3478542160879878
Maldives,541891,103654,0.3835373948960024
Mali,20330104,34275,4.621072088724584
Malta,441718,175470,0.599880023995201
Martinique,375221,12227,3.4482758620689653
Mauritania,4666424,68872,2.2881969587255613
Mauritius,1272082,205285,2.8901734104046244
Mayotte,273725,13000,1.2048192771084338
Mexico,129129040,1259141,10.796838068851264
Moldova,4032549,183923,2.8078140868630146
Monaco,39283,51953,0.8928571428571428
Montenegro,628078,45418,1.9341469030623992
Morocco,36973674,1758870,1.6963074748323752
Mozambique,31374793,85137,0.5891016200294551
Myanmar,54463303,145167,1.2658227848101269
Namibia,2547404,50391,0.8882815169115136
Nepal,29210859,904802,0.4804455597037762
Netherlands,17140511,1312787,9.239065665594088
New Zealand,5002100,697070,1.30718954248366
Niger,24322381,9052,5.887372013651878
Nigeria,206844330,369904,1.9185478775346083
Norway,5427437,601569,2.5573961057832033
Oman,5124498,309212,0.7537658710906531
Pakistan,221495402,2463513,2.129161395480476
Palestine,5117863,214862,0.6766252016863582
Panama,4324439,305030,2.1772151898734178
Papua New Guinea,8970893,14676,0.9975062344139649
Paraguay,7145159,173340,1.5491574095065366
Peru,33037658,2985782,4.6545162082762666
Philippines,109790471,2338607,1.5495335955356961
Poland,37840384,2555515,3.1455625100304925
Portugal,10192218,1896675,3.2322325915290735
Qatar,2807805,594215,0.16543584670748554
Romania,19218095,1659135,4.171183663179125
Russia,145943820,34600000,1.7106728806137954
Rwanda,12996504,368244,0.3884752347037877
Réunion,896248,35419,0.4962779156327544
S. Korea,51275775,1804422,1.7492216246815735
Saint Martin,38759,2449,2.8409090909090913
San Marino,33942,6511,5.965909090909091
Sao Tome and Principe,219733,3482,1.6816143497757847
Saudi Arabia,34891119,4733485,1.1958374101744995
Senegal,16804442,137832,2.09021747483286
Serbia,8732038,876929,2.2823468125284885
Singapore,5857066,1745928,0.04786894546486065
Sint Maarten,42946,2113,4.2929292929292915
Slovakia,5460037,312822,0.963785046728972
Slovenia,2078981,147634,4.990619136960599
South Africa,59416296,3553425,2.141616634386895
South Sudan,11212666,12044,1.880752300920368
Spain,46757487,8032401,7.070234064514231
Sri Lanka,21426523,208397,0.4063664070436844
Suriname,587397,6796,1.6079844746326586
Swaziland,1161905,28694,2.0118343195266277
Sweden,10108516,1030010,6.703105360869918
Switzerland,8663888,941798,4.9950074887668485
Taiwan,23823195,86023,1.4373716632443532
Thailand,69826007,749213,1.7073888725345894
Togo,8305619,58050,2.11433046202036
Trinidad and Tobago,1400160,19461,1.3902681231380336
Tunisia,11836541,125135,2.5195173882185946
Turkey,84470460,6327466,2.370193108201774
Turks and Caicos Islands,38792,2083,0.5221932114882507
UAE,9907628,6560686,0.5588418893611962
UK,67938559,15177265,12.722253271998087
USA,331288117,76174718,3.0738576421572787
Uganda,45935272,351845,0.9314140558848432
Ukraine,43693718,1425351,2.147928883226858
Uruguay,3475514,160216,2.7504911591355596
Uzbekistan,33538566,1377915,0.7074267034426397
Venezuela,28423773,1695541,0.8315640481245578
Vietnam,97466108,817208,2.641878669275929
Zambia,18454135,106449,2.5266197437285687
Zimbabwe,14893857,149748,2.6138279932546373
