Region,idcount,Country_code_iso2,Country3,Date,Overall,Affordability,Availability,Safety
202203,1,SG,SGP,31/12/2019,87.4,95.4,83,79.4
202110,1,IE,IRL,31/12/2019,84,90.5,76.8,87.7
202240,1,US,USA,31/12/2019,83.7,87.4,78.3,89.1
202220,1,CH,CHE,31/12/2019,83.1,83.8,84.3,78.2
202077,1,FI,FIN,31/12/2019,82.9,84.1,78.6,91.8
202168,1,NO,NOR,31/12/2019,82.9,81.9,81,90.5
202219,1,SE,SWE,31/12/2019,82.7,85,78.1,89.4
202043,1,CA,CAN,31/12/2019,82.4,83.3,80,86.7
202158,1,NL,NLD,31/12/2019,82,85.6,76.2,88.9
202015,1,AT,AUT,31/12/2019,81.7,85.4,78.6,81.1
202085,1,DE,DEU,31/12/2019,81.5,84.9,79.1,79.8
202014,1,AU,AUS,31/12/2019,81.4,86.6,77.1,79.9
202182,1,QA,QAT,31/12/2019,81.2,98.9,64,84.1
202063,1,DK,DNK,31/12/2019,81,85.4,74.8,87.2
202022,1,BE,BEL,31/12/2019,80.7,84.4,76.2,83.9
202078,1,FR,FRA,31/12/2019,80.4,83.8,74.8,87.1
202239,1,GB,GBR,31/12/2019,79.1,83.6,74.4,80.9
202112,1,IL,ISR,31/12/2019,79,83,73.6,83.8
202160,1,NZ,NZL,31/12/2019,78.8,84.6,75.5,73.5
202180,1,PT,PRT,31/12/2019,77.8,81.3,70.9,88
202115,1,JP,JPN,31/12/2019,76.5,82.4,71,76.7
202238,1,AE,ARE,31/12/2019,76.5,89.8,63.7,78.5
202113,1,IT,ITA,31/12/2019,75.8,82.5,68.3,79.7
202179,1,PL,POL,31/12/2019,75.6,81.1,69.3,79.5
202048,1,CL,CHL,31/12/2019,75.5,80.5,71.3,74.7
202213,1,ES,ESP,31/12/2019,75.5,82.3,65.9,84.7
202121,1,KW,KWT,31/12/2019,74.8,88.1,62.3,75.9
202136,1,MY,MYS,31/12/2019,73.8,81.7,67.7,70.6
202211,1,KR,KOR,31/12/2019,73.6,75.8,71.2,74.9
202198,1,SA,SAU,31/12/2019,73.5,86.3,61.8,73.5
202088,1,GR,GRC,31/12/2019,73.4,77.8,64.9,86
202062,1,CZ,CZE,31/12/2019,73.1,82.6,66.3,68.1
202241,1,UY,URY,31/12/2019,72.8,79.3,66.7,73.3
202103,1,HU,HUN,31/12/2019,72.7,80.8,66.1,70.5
202049,1,CN,CHN,31/12/2019,71,74.8,66.9,72.6
202021,1,BY,BLR,31/12/2019,70.9,76,62.9,80.2
202011,1,AR,ARG,31/12/2019,70.8,78.9,60.2,79.5
202185,1,RO,ROU,31/12/2019,70.2,79.3,64.3,64.1
202032,1,BR,BRA,31/12/2019,70.1,77,58.8,84
202057,1,CR,CRI,31/12/2019,70.1,75.6,63.1,75.6
202232,1,TR,TUR,31/12/2019,69.8,74.7,64.8,71.1
202186,1,RU,RUS,31/12/2019,69.7,79.8,60.1,70.9
202052,1,CO,COL,31/12/2019,69.4,73.7,65.6,69.3
202145,1,MX,MEX,31/12/2019,69.4,74.9,62.3,75.2
202173,1,PA,PAN,31/12/2019,68.8,73.8,63.1,71.8
202169,1,OM,OMN,31/12/2019,68.4,77.8,57.6,74.4
202205,1,SK,SVK,31/12/2019,68.3,78.6,62.1,59.4
202118,1,KZ,KAZ,31/12/2019,67.3,77.5,57.7,68.3
202209,1,ZA,ZAF,31/12/2019,67.3,70.8,64.5,66.2
202018,1,BH,BHR,31/12/2019,66.6,81.9,56.3,56.9
202038,1,BG,BGR,31/12/2019,66.2,79,54.2,66.8
202225,1,TH,THA,31/12/2019,65.1,77.1,58.7,52.6
202016,1,AZ,AZE,31/12/2019,64.8,75.3,59.2,54
202245,1,VN,VNM,31/12/2019,64.6,75.1,59.7,51.7
202068,1,EG,EGY,31/12/2019,64.5,57.6,70.2,65.9
202066,1,DO,DOM,31/12/2019,64.2,68.4,61,62.3
202030,1,BW,BWA,31/12/2019,63.8,69.5,61.3,56.6
202176,1,PE,PER,31/12/2019,63.3,69.1,59,60.4
202086,1,GH,GHA,31/12/2019,62.8,66.3,61.7,57.1
202152,1,MA,MAR,31/12/2019,62.8,61.5,64.2,61.9
202200,1,RS,SRB,31/12/2019,62.8,73.9,53,61.8
202106,1,ID,IDN,31/12/2019,62.6,70.4,61.3,47.1
202067,1,EC,ECU,31/12/2019,61.8,69.4,56.1,58.4
202117,1,JO,JOR,31/12/2019,61,70.5,54.8,54.2
202177,1,PH,PHL,31/12/2019,61,68.9,57.7,50.3
202214,1,LK,LKA,31/12/2019,60.8,65,60,52.4
202069,1,SV,SLV,31/12/2019,60.7,63.8,58.6,58.9
202093,1,GT,GTM,31/12/2019,60.6,65.3,57.6,57.5
202231,1,TN,TUN,31/12/2019,60.1,61.5,58,62.2
202004,1,DZ,DZA,31/12/2019,59.8,66.9,55.8,53
202242,1,UZ,UZB,31/12/2019,59,65.6,55.1,53.4
202105,1,IN,IND,31/12/2019,58.9,64.2,58.4,47
202101,1,HN,HND,31/12/2019,58,57.2,57.8,60.6
202175,1,PY,PRY,31/12/2019,57.9,72,42.4,65.4
202027,1,BO,BOL,31/12/2019,57.7,65.8,50,58.3
202237,1,UA,UKR,31/12/2019,57.1,63.9,50,59.6
202154,1,MM,MMR,31/12/2019,57,59.1,57.2,51.3
202170,1,PK,PAK,31/12/2019,56.8,63.2,55.7,43.6
202157,1,NP,NPL,31/12/2019,56.4,58.5,55.4,53.7
202138,1,ML,MLI,31/12/2019,54.4,45.9,60.1,59.9
202199,1,SN,SEN,31/12/2019,54.3,51.6,56.1,56.1
202161,1,NI,NIC,31/12/2019,54.2,63.5,47.9,48.2
121269,1,BD,BGD,31/12/2019,53.2,60.4,54.8,30.6
202107,1,CI,CIV,31/12/2019,52.3,53.5,58.1,33.1
202024,1,BJ,BEN,31/12/2019,51,48.6,54.9,46.4
202119,1,KE,KEN,31/12/2019,50.7,56.7,48,43.2
202039,1,BF,BFA,31/12/2019,50.1,47,55.9,41.6
202042,1,CM,CMR,31/12/2019,49.9,53.7,47.6,47
202162,1,NE,NER,31/12/2019,49.6,50.2,53.6,37.4
202041,1,KH,KHM,31/12/2019,49.4,56.7,48.1,34.6
202073,1,ET,ETH,31/12/2019,49.2,49.7,52.6,39
202123,1,LA,LAO,31/12/2019,49.1,55.5,47.6,37.4
202223,1,TJ,TJK,31/12/2019,49,58.8,41.1,46.6
202163,1,NG,NGA,31/12/2019,48.4,50.4,45.8,50.7
202187,1,RW,RWA,31/12/2019,48.2,43.8,52,48.5
202224,1,TZ,TZA,31/12/2019,47.6,45.1,50.4,45.9
202095,1,GN,GIN,31/12/2019,46.7,47.4,52.4,29
202236,1,UG,UGA,31/12/2019,46.2,45.8,45.5,49.1
202215,1,SD,SDN,31/12/2019,45.7,47.1,44.4,46
202007,1,AO,AGO,31/12/2019,45.5,51.3,40.5,44.9
202249,1,ZM,ZMB,31/12/2019,44.4,41.8,50.7,33.6
202227,1,TG,TGO,31/12/2019,44,45.6,47.2,31
202098,1,HT,HTI,31/12/2019,43.3,50.3,39.6,35.9
202135,1,MW,MWI,31/12/2019,42.5,39.4,48.6,33.1
202153,1,MZ,MOZ,31/12/2019,41.4,42.5,47.9,20.6
202202,1,SL,SLE,31/12/2019,39,40.8,40.3,30.6
202221,1,SY,SYR,31/12/2019,38.4,34.6,38.9,46.4
202134,1,MG,MDG,31/12/2019,37.9,35.7,45.7,22.1
202047,1,TD,TCD,31/12/2019,36.9,40.3,34.9,33.5
202055,1,CD,COD,31/12/2019,35.7,37.3,40,19.8
202248,1,YE,YEM,31/12/2019,35.6,45.5,28.6,30.2
202040,1,BI,BDI,31/12/2019,34.3,36.6,32.2,34.5
202244,1,VE,VEN,31/12/2019,31.2,15.8,32.2,66.9
