Date,affected_1, death_1, recovered_1,affected_2, death_2, recovered_2, affected_3, death_3, recovered_3

4/18/2020,2326127,163791,596178,2414887,162206,609107,2278304,156978,611397
4/19/2020,2401370,166674,616689,2486803,173940,624293,2407180,171781,643568
4/20/2020,2482964,171931,652158,2569635,174684,641813,2504644,184225,653072
4/21/2020,2569635,178576,682679,2655459,178576,682679,2573317,182675,667345
4/22/2020,2645037,183541,706779,2730110,185032,713100,2655459,185032,713100
4/23/2020,2704103,191028,755806,2785467,190023,738587,2743646,191742,744029
4/24/2020,2792453,198520,768725,2873261,198087,794665,2817467,196708,768665
4/25/2020,2871068,201915,817958,2955288,206108,799130,2864570,205258,833612
4/26/2020,2982719,208993,865689,3074263,207913,858473,2958015,213854,829943
4/27/2020,3074263,215211,894574,3164549,215211,894574,3037657,213901,897560
4/28/2020,3143840,215293,941373,3231274,221442,941298,3164549,221442,941298
4/29/2020,3189587,221478,962870,3264499,219694,974253,3257462,227756,974197
4/30/2020,3313594,239247,1046639,3388393,245947,1050354,3333642,232363,1034002
5/1/2020,3313594,239247,1046639,3388393,245916,1083311,3432672,254379,1089236
5/2/2020,3409682,243657,1088576,3478248,245916,1083311,3450242,252682,1123390
5/3/2020,3480396,248409,1125299,3561950,249874,1132031,3450242,252682,1123390
5/4/2020,3580986,253021,1156375,3666313,254365,1160421,3559101,256191,1171849
5/5/2020,3665416,255803,1198494,3751786,258725,1195080,3641470,260411,1201925
5/6/2020,3736181,261570,1229313,3818768,260815,1238070,3752943,264514,1232581
5/7/2020,3814628,267297,1269106,3893579,266885,1263547,3838853,265928,1277601
5/8/2020,3910929,273218,1308402,3996951,272773,1311052,3898928,272251,1301890
5/9/2020,4015535,279178,1340169,4111133,278855,1343997,3974929,278294,1348545
5/10/2020,4125233,285156,1409714,4226298,284941,1378011,4087612,284536,1384395
5/11/2020,4226298,291020,1464302,4328995,291020,1464302,4208195,290752,1415406
5/12/2020,4266810,290813,1500098,4353570,296933,1508545,4328995,296933,1508545
5/13/2020,4347163,295913,1541564,4431839,295508,1547095,4432063,302900,1558918
5/14/2020,4419255,301280,1589361,4501892,300799,1584762,4439594,300287,1593117
5/15/2020,4519255,305880,1639361,4621892,303499,1614762,4469594,302487,1613117
5/16/2020,4639940,313014,1681321,4740168,306338,1638018,4517559,305731,1630935
5/17/2020,4738406,315286,1736958,4840460,318358,1729949,4583950,311433,1684030
5/18/2020,4808304,319718,1785580,4899775,319779,1787740,4842721,323740,1776764
5/19/2020,4894678,322419,1836104,4979910,324330,1834323,4940535,324408,1837676
5/20/2020,4988336,328028,1778037,5080089,326543,1887706,4986418,329018,1884911
5/21/2020,5095116,332698,1918339,5191115,332697,1753172,5069586,330777,1938316
5/22/2020,5070077,337873,1981106,5148083,337386,1969935,5174249,337384,1797714
5/23/2020,5245224,343338,2135922,5366535,342734,2033688,5289234,342106,2015979
5/24/2020,5377058,346493,2230932,5507327,348395,2256073,5204182,347618,2085430
5/25/2020,5486789,345345,2264563,5608763,349880,2276547,5306478,350784,2209873
5/26/2020,5598085,348030,2298988,5701239,351021,2295937,5463027,353468,2342203
5/27/2020,5696940,356060,2353475,5799965,351118,2365149,5606548,355638,2407546
5/28/2020,5798543,361160,2415045,5902806,361814,2417272,5805749,354322,2431729
5/29/2020,5902811,364188,2473639,6007744,366866,2479279,5904718,367742,2482019
5/30/2020,6007736,368506,2537112,6113533,368505,2537110,6007734,372775,2544021
5/31/2020,6163113,373538,2631719,6286918,372861,2601287,6113548,372859,2601283
6/1/2020,6293450,375304,2714301,6418559,377599,2703104,6220149,377251,2665930
6/2/2020,6399529,379830,2768882,6516047,379307,2787727,6409837,381931,2774065
6/3/2020,6501928,385369,2796900,6616747,384555,2838677,6541183,383962,2861603
6/4/2020,6625402,391512,2871830,6744899,390372,2860421,6634891,389435,2909408
6/5/2020,6757189,396037,2939009,6881379,396435,2937922,6733654,395138,2924572
6/6/2020,6866494,398913,3076429,6986437,400586,3005679,6865459,401033,3004399
6/7/2020,7012148,404683,3167400,7140178,403297,3155256,7005661,405188,3072858
6/8/2020,7142719,406731,3219525,7274218,409616,3248298,7106505,408047,3234189
6/9/2020,7255687,411033,3374274,7379767,411290,3296051,7270853,414544,3329791
6/11/2020,7482461,420805,3545833,7604904,415761,3468709,7403737,416054,3373176
6/12/2020,7633215,426033,3630147,7764668,424998,3635631,7505041,420292,3561070
6/13/2020,7780633,429917,3720976,7918024,430146,3719786,7728320,428978,3726389
6/14/2020,7923969,434333,3799079,8062041,433982,3811562,7897778,434239,3810144
6/15/2020,8041298,436763,3856926,8174474,438765,3887932,8054467,438372,3902757
6/16/2020,8169160,441495,3957845,8301469,441249,3941330,8200940,443508,3977695
6/17/2020,8305795,449854,4043468,8441524,446361,4046214,8308200,446084,4026781
6/18/2020,8481438,453582,4162832,8628578,454988,4131532,8436029,451071,4134767
6/19/2020,8637949,458607,4252220,8788668,457913,4257285,8578042,459465,4220340
6/20/2020,8814372,465424,4339438,8971590,463175,4345589,8776892,462401,4351587
6/21/2020,8951138,469085,4459632,9103057,470578,4432604,8938412,468065,4439878
6/22/2020,9104215,473094,4533784,9257401,474270,4558554,9129823,475933,4526520
6/23/2020,9252403,477193,4620363,9406010,478641,4627755,9255896,479947,4657355
6/24/2020,9416082,483447,4724730,9573526,482832,4714711,9412532,484445,4723501
6/24/2020,9586483,487954,4843144,9748576,489044,4821632,9560415,488358,4809750
6/25/2020,9586483,487954,4843144,9748576,492865,4944260,9731738,494079,4918819
