Date,medianvalue,maximum,minimum,Countryname
2020-06-06,0,0,0,Australia
2020-06-07,0,0,0,Australia
2020-06-08,0,0,0,Australia
2020-06-09,0,0,0,Australia
2020-06-10,0,0,0,Australia
2020-06-11,0,0,0,Australia
2020-06-12,0,0,0,Australia
2020-06-13,0,0,0,Australia
2020-06-14,0,0,0,Australia
2020-06-15,0,0,0,Australia
2020-06-16,0,0,0,Australia
2020-06-17,0,0,0,Australia
2020-06-18,1,1,1,Australia
2020-06-19,0,0,0,Australia
2020-06-20,1,1,1,Australia
2020-06-21,0,0,0,Australia
2020-06-22,1,1,1,Australia
2020-06-23,0,0,1,Australia
2020-06-24,0,0,0,Australia
2020-06-25,0,0,0,Australia
2020-06-26,0,0,0,Australia
2020-06-27,0,0,0,Australia
