Date,medianvalue,maximum,minimum,Countryname
2020-06-06,1182,2150,108,Canada
2020-06-07,989,1570,131,Canada
2020-06-08,972,1516,136,Canada
2020-06-09,978,1516,139,Canada
2020-06-10,965,1459,149,Canada
2020-06-11,896,1302,156,Canada
2020-06-12,815,1144,162,Canada
2020-06-13,818,1145,164,Canada
2020-06-14,838,1179,164,Canada
2020-06-15,851,1206,161,Canada
2020-06-16,897,1284,165,Canada
2020-06-17,952,1371,168,Canada
2020-06-18,950,1359,402,Canada
2020-06-19,935,1324,402,Canada
2020-06-20,915,1280,402,Canada
2020-06-21,914,1283,398,Canada
2020-06-22,932,1324,398,Canada
2020-06-23,920,1290,400,Canada
2020-06-24,918,1283,402,Canada
2020-06-25,906,1251,410,Canada
2020-06-26,830,1108,402,Canada
2020-06-27,784,1025,396,Canada
