Date,medianvalue,maximum,minimum,Countryname
2020-06-06,2357,2679,1211,Bangladesh
2020-06-07,3538,4147,1591,Bangladesh
2020-06-08,2874,3292,1426,Bangladesh
2020-06-09,2795,3198,1397,Bangladesh
2020-06-10,2698,3094,1330,Bangladesh
2020-06-11,3481,4105,1521,Bangladesh
2020-06-12,4207,5130,1603,Bangladesh
2020-06-13,5571,7149,1742,Bangladesh
2020-06-14,5391,6923,1685,Bangladesh
2020-06-15,4769,5952,1649,Bangladesh
2020-06-16,5066,6417,1655,Bangladesh
2020-06-17,5577,7249,1653,Bangladesh
2020-06-18,4963,6351,2736,Bangladesh
2020-06-19,5907,7853,3011,Bangladesh
2020-06-20,6987,9883,3159,Bangladesh
2020-06-21,6797,9636,3064,Bangladesh
2020-06-22,6619,9348,3000,Bangladesh
2020-06-23,6400,9210,2900,Bangladesh
2020-06-24,6569,9338,2934,Bangladesh
2020-06-25,5479,7301,2768,Bangladesh
2020-06-26,5247,6863,2747,Bangladesh
2020-06-27,4947,6401,2646,Bangladesh
