date,deaths,confirmed,recovered,CFR_1,CFR_2
2020-01-21,17,555,28,0.37777777777777777,0.03063063063063063
2020-01-22,35,1208,58,0.3763440860215054,0.028973509933774833
2020-01-23,44,1594,66,0.4,0.027603513174404015
2020-01-24,68,2379,75,0.4755244755244755,0.028583438419503993
2020-01-25,98,3556,91,0.5185185185185185,0.027559055118110236
2020-01-26,138,5044,113,0.549800796812749,0.027359238699444885
2020-01-27,213,8504,168,0.5590551181102362,0.02504703668861712
2020-01-28,264,11743,233,0.5311871227364185,0.022481478327514265
2020-01-29,304,14400,269,0.5305410122164049,0.021111111111111112
2020-01-30,384,18160,365,0.5126835781041389,0.021145374449339206
2020-01-31,472,22008,511,0.4801627670396745,0.021446746637586334
2020-02-01,259,12049,283,0.477859778597786,0.02149555979749357
2020-02-02,362,16694,465,0.437726723095526,0.02168443752246316
2020-02-03,425,19750,615,0.40865384615384615,0.021518987341772152
2020-02-04,491,23833,851,0.36587183308494786,0.02060168673687744
2020-02-05,563,27516,1115,0.3355184743742551,0.020460822794010756
2020-02-06,633,30695,1482,0.29929078014184396,0.0206222511809741
2020-02-07,719,34245,2004,0.26404700697759825,0.02099576580522704
2020-02-08,805,36944,2612,0.23558677202224174,0.021789735816370722
2020-02-09,905,39981,3231,0.21881044487427467,0.022635751982191542
2020-02-10,1012,42500,3929,0.20481683869662012,0.02381176470588235
2020-02-11,1112,44582,4679,0.19202210326368502,0.024942802027724194
2020-02-12,1118,44908,5124,0.17910925985261134,0.024895341587245035
2020-02-13,1370,60098,6275,0.17920209287115763,0.0227960997038171
2020-02-14,1522,66473,8005,0.15975648157867114,0.02289651437425722
2020-02-15,1665,68618,9355,0.15108892921960074,0.024264770176921507
2020-02-16,1768,70751,10825,0.14039545779401255,0.024989046091221327
2020-02-17,1866,72688,12537,0.1295563424286607,0.025671362535769314
2020-02-18,2004,74435,14285,0.12302781017864817,0.02692281856653456
2020-02-19,2120,74834,16031,0.11679797256349513,0.02832936900339418
2020-02-20,2243,75304,18050,0.11053072488050067,0.029785934346117073
2020-02-21,2247,76141,18845,0.10653328276123648,0.029511038730775797
2020-02-22,2453,77718,22758,0.09729879814366744,0.03156282971769732
2020-02-23,2464,78121,23303,0.095626188535724,0.03154081488972235
2020-02-24,2624,78657,25095,0.09466430967928136,0.03336003152929809
2020-02-25,2704,79635,27853,0.08849036227378342,0.03395491931939474
2020-02-26,2765,80579,30304,0.08361305149838218,0.03431415132975093
2020-02-27,2808,81795,33147,0.07809762202753442,0.034329726755914176
2020-02-28,2865,83208,36583,0.07262725613465829,0.03443178540524949
2020-02-29,2934,85217,39745,0.0687457531807212,0.0344297499325252
2020-03-01,2989,87549,42675,0.06545637701471618,0.03414088110658031
2020-03-02,3078,89450,45545,0.06330337494601321,0.03441028507546115
2020-03-03,3152,91910,48161,0.06142692884843997,0.03429441845283429
2020-03-04,3245,94071,51010,0.05981015574601419,0.03449522169425221
2020-03-05,3339,96973,53744,0.05849377222640716,0.034432264650985325
2020-03-06,3453,100872,55800,0.058275530352893526,0.0342315013085891
2020-03-07,3551,104783,58293,0.0574186663217127,0.03388908506150807
2020-03-08,3796,108774,60609,0.05893952332893409,0.03489804548881167
2020-03-09,3987,112077,62322,0.060127584490793105,0.035573757327551594
2020-03-10,4252,117569,64270,0.0620530632497592,0.03616599613843785
2020-03-11,4613,125252,66688,0.06469754982398564,0.03682975122153738
2020-03-12,3810,109467,66720,0.0540195661420672,0.03480500972895941
