ID,Code,Date,ActualAffected,ActualDeath,One_day_prediction_of_affected,One_day_prediction_of_death,Two_day_prediction_of_affected,Two_day_prediction_of_death,Countryname
,AUS,4/18/2020,25,1,43,1,32,0,Australia
,AUS,4/19/2020,0,0,41,1,49,2,Australia
,AUS,4/20/2020,78,4,15,0,44,1,Australia
,AUS,4/21/2020,0,0,47,2,15,0,Australia
,AUS,4/22/2020,107,7,0,0,46,2,Australia
,AUS,4/20/2020,0,0,35,2,0,0,Australia
,AUS,4/23/2020,120,8,151,1,59,3,Australia
,AUS,4/24/2020,26,4,40,2,176,1,Australia
,AUS,4/25/2020,18,1,61,4,66,4,Australia
,AUS,4/26/2020,17,3,49,2,72,5,Australia
,AUS,4/27/2020,31,4,16,3,33,2,Australia
,AUS,4/28/2020,17,5,21,2,16,2,Australia
,AUS,4/29/2020,8,2,16,3,19,2,Australia
,AUS,4/30/2020,14,2,15,3,13,3,Australia
,AUS,5/1/2020,14,2,16,3,16,3,Australia
,AUS,5/2/2020,21,1,12,2,12,2,Australia
202014,AUS,5/3/2020,23,1,17,1,13,2,Australia
202014,AUS,5/4/2020,25,1,17,0,17,0,Australia
202014,AUS,5/5/2020,28,1,23,1,21,0,Australia
202014,AUS,5/6/2020,19,0,25,1,24,1,Australia
202014,AUS,5/7/2020,19,0,25,0,26,1,Australia
202014,AUS,5/8/2020,5,0,22,0,25,0,Australia
202014,AUS,5/9/2020,21,0,14,0,20,0,Australia
202014,AUS,5/10/2020,9,0,17,0,14,0,Australia
202014,AUS,5/11/2020,22,0,13,0,15,0,Australia
202014,AUS,5/12/2020,10,1,19,0,15,0,Australia
202014,AUS,5/13/2020,9,0,15,0,17,0,Australia
202014,AUS,5/14/2020,30,0,12,0,16,0,Australia
202014,AUS,5/15/2020,16,0,13,0,11,0,Australia
202014,AUS,5/16/2020,9,0,15,0,15,0,Australia
202014,AUS,5/17/2020,10,1,13,0,15,0,Australia
202014,AUS,5/18/2020,14,0,13,0,14,0,Australia
202014,AUS,5/19/2020,4,1,14,0,13,0,Australia
202014,AUS,5/20/2020,9,0,9,0,14,0,Australia
202014,AUS,5/21/2020,14,1,7,0,9,0,Australia
202014,AUS,5/22/2020,4,0,8,0,8,0,Australia
202014,AUS,5/23/2020,15,1,7,0,9,0,Australia
202014,AUS,5/25/2020,12,0,7,0,8,0,Australia
202014,AUS,5/26/2020,13,1,7,0,9,0,Australia
202014,AUS,5/27/2020,11,0,7,0,8,0,Australia
202014,AUS,5/28/2020,15,0,8,0,9,0,Australia
202014,AUS,5/29/2020,19,0,10,0,10,0,Australia
202014,AUS,5/30/2020,8,0,14,0,11,0,Australia
202014,AUS,5/31/2020,10,0,12,0,14,0,Australia
202014,AUS,6/1/2020,19,1,13,0,14,0,Australia
202014,AUS,6/2/2020,8,0,15,0,13,0,Australia
202014,AUS,6/3/2020,11,0,13,0,15,0,Australia
202014,AUS,6/4/2020,7,0,10,0,13,0,Australia
202014,AUS,6/5/2020,5,0,10,0,12,0,Australia
202014,AUS,6/6/2020,7,0,9,0,11,0,Australia
202014,AUS,6/7/2020,6,0,6,0,9,0,Australia
202014,AUS,6/8/2020,2,0,6,0,7,0,Australia
202014,AUS,6/9/2020,7,0,4,0,7,0,Australia
202014,AUS,6/10/2020,11,0,4,0,5,0,Australia
202014,AUS,6/10/2020,11,0,5,0,5,0,Australia
202014,AUS,6/11/2020,4,0,5,0,6,0,Australia
202014,AUS,6/12/2020,5,0,4,0,6,0,Australia
202014,AUS,6/13/2020,26,0,4,0,6,0,Australia
202014,AUS,6/13/2020,26,0,9,0,5,0,Australia
202014,AUS,6/14/2020,15,0,9,0,9,0,Australia
202014,AUS,6/15/2020,12,0,10,0,9,0,Australia
202014,AUS,6/16/2020,23,0,11,0,12,0,Australia
202014,AUS,6/17/2020,21,0,16,0,13,0,Australia
202014,AUS,6/18/2020,18,0,19,0,17,0,Australia
202014,AUS,6/19/2020,2,0,18,0,21,0,Australia
202014,AUS,6/20/2020,50,0,15,0,20,0,Australia
202014,AUS,6/21/2020,13,0,24,0,17,0,Australia
202014,AUS,6/22/2020,18,0,21,0,27,0,Australia
202014,AUS,6/23/2020,29,1,21,0,22,0,Australia
202014,AUS,6/24/2020,37,1,24,0,23,0,Australia
202014,AUS,6/25/2020,37,0,26,0,25,0,Australia
202014,AUS,6/26/2020,6,0,28,0,28,0,Australia
202014,AUS,6/27/2020,85,0,26,0,30,0,Australia

