ID,Code,Date,ActualAffected,ActualDeath,One_day_prediction_of_affected,One_day_prediction_of_death,Two_day_prediction_of_affected,Two_day_prediction_of_death,Country_name
,BGD,4/18/2020,306,9,299,16,379,8,Bangladesh
,BGD,4/19/2020,312,7,311,12,308,16,Bangladesh
,BGD,4/20/2020,492,10,303,8,290,12,Bangladesh
,BGD,4/21/2020,434,9,405,9,308,8,Bangladesh
,BGD,4/22/2020,390,10,422,8,417,8,Bangladesh
,BGD,4/20/2020,434,9,416,9,437,9,Bangladesh
,BGD,4/23/2020,414,7,144,3,417,9,Bangladesh
,BGD,4/24/2020,503,4,416,9,241,5,Bangladesh
,BGD,4/25/2020,309,9,450,5,404,9,Bangladesh
,BGD,4/26/2020,418,5,441,7,464,5,Bangladesh
,BGD,4/27/2020,497,7,428,6,439,7,Bangladesh
,BGD,4/28/2020,549,3,409,7,372,7,Bangladesh
,BGD,4/29/2020,641,8,487,5,456,6,Bangladesh
,BGD,4/30/2020,564,5,573,6,521,5,Bangladesh
,BGD,5/1/2020,571,2,597,5,599,6,Bangladesh
,BGD,5/2/2020,552,5,593,3,606,6,Bangladesh
121269.0,BGD,5/3/2020,665,2,565,4,579,3,Bangladesh
121269.0,BGD,5/4/2020,688,5,614,3,565,3,Bangladesh
121269.0,BGD,5/5/2020,786,1,624,4,618,3,Bangladesh
121269.0,BGD,5/6/2020,790,3,729,3,669,3,Bangladesh
121269.0,BGD,5/7/2020,706,13,742,3,743,3,Bangladesh
121269.0,BGD,5/8/2020,709,7,774,7,780,2,Bangladesh
121269.0,BGD,5/9/2020,636,8,735,8,768,8,Bangladesh
121269.0,BGD,5/10/2020,887,14,695,9,721,9,Bangladesh
121269.0,BGD,5/11/2020,1034,11,785,10,690,8,Bangladesh
121269.0,BGD,5/12/2020,969,11,848,11,786,11,Bangladesh
121269.0,BGD,5/13/2020,1162,19,974,12,954,12,Bangladesh
121269.0,BGD,5/14/2020,1041,14,1108,14,993,11,Bangladesh
121269.0,BGD,5/15/2020,1202,15,1233,16,1172,14,Bangladesh
121269.0,BGD,5/16/2020,930,16,1285,16,1313,16,Bangladesh
121269.0,BGD,5/17/2020,1273,14,1243,17,1365,16,Bangladesh
121269.0,BGD,5/18/2020,1602,21,1318,18,1316,17,Bangladesh
121269.0,BGD,5/19/2020,1251,21,1434,19,1394,18,Bangladesh
121269.0,BGD,5/20/2020,1617,16,1467,20,1520,19,Bangladesh
121269.0,BGD,5/21/2020,1773,22,1582,21,1547,20,Bangladesh
121269.0,BGD,5/22/2020,1694,24,1798,22,1677,21,Bangladesh
121269.0,BGD,5/23/2020,1873,20,1876,24,1912,22,Bangladesh
121269.0,BGD,5/25/2020,1975,21,1942,24,1992,24,Bangladesh
121269.0,BGD,5/26/2020,1166,21,2079,27,2055,24,Bangladesh
121269.0,BGD,5/27/2020,1541,22,1907,26,2195,27,Bangladesh
121269.0,BGD,5/28/2020,2029,15,1856,25,2000,26,Bangladesh
121269.0,BGD,5/29/2020,2523,23,1879,24,1947,25,Bangladesh
121269.0,BGD,5/30/2020,1764,28,2124,23,1965,24,Bangladesh
121269.0,BGD,5/31/2020,2545,40,2058,24,2227,23,Bangladesh
121269.0,BGD,6/1/2020,2381,22,2414,29,2152,24,Bangladesh
121269.0,BGD,6/2/2020,2911,37,2601,29,2537,29,Bangladesh
121269.0,BGD,6/3/2020,2695,37,2825,34,2732,29,Bangladesh
121269.0,BGD,6/4/2020,2423,35,2857,38,2975,34,Bangladesh
121269.0,BGD,6/5/2020,2828,30,3009,39,3002,38,Bangladesh
121269.0,BGD,6/6/2020,2635,35,3060,37,3165,39,Bangladesh
121269.0,BGD,6/7/2020,2743,42,3113,40,3211,37,Bangladesh
121269.0,BGD,6/8/2020,2735,42,3045,40,3267,40,Bangladesh
121269.0,BGD,6/9/2020,3171,45,3032,41,3185,40,Bangladesh
121269.0,BGD,6/10/2020,3190,37,3201,43,3163,41,Bangladesh
121269.0,BGD,6/10/2020,3190,37,3285,45,3343,43,Bangladesh
121269.0,BGD,6/11/2020,3187,37,3285,45,3427,45,Bangladesh
121269.0,BGD,6/12/2020,3471,46,3400,46,3427,45,Bangladesh
121269.0,BGD,6/13/2020,2856,44,3583,47,3543,46,Bangladesh
121269.0,BGD,6/13/2020,2856,44,3599,47,3737,47,Bangladesh
121269.0,BGD,6/14/2020,3141,32,3599,47,3751,47,Bangladesh
121269.0,BGD,6/15/2020,3099,38,3562,44,3751,49,Bangladesh
121269.0,BGD,6/16/2020,3862,53,3556,44,3703,45,Bangladesh
121269.0,BGD,6/17/2020,4008,43,2862,37,3697,46,Bangladesh
121269.0,BGD,6/18/2020,3803,38,3114,38,2842,37,Bangladesh
121269.0,BGD,6/19/2020,3243,45,3443,38,3085,38,Bangladesh
121269.0,BGD,6/20/2020,3240,37,3532,42,3407,39,Bangladesh
121269.0,BGD,6/21/2020,3531,39,3746,44,3476,41,Bangladesh
121269.0,BGD,6/22/2020,3480,38,3660,42,3679,43,Bangladesh
121269.0,BGD,6/23/2020,3412,43,3799,44,3667,43,Bangladesh
121269.0,BGD,6/24/2020,3462,37,3980,46,3803,44,Bangladesh
121269.0,BGD,6/25/2020,3946,39,4013,45,3981,47,Bangladesh
121269.0,BGD,6/26/2020,3868,40,3991,44,4120,47,Bangladesh
121269.0,BGD,6/27/2020,3504,34,3998,45,4095,47,Bangladesh
