country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
AL,51.18157317,66.02256421,11.97435897,117,19,83.76068376
DZ,12.22024967,17.66510047,18.12068966,116,22,81.03448276
AD,212.8952922,276.6399711,6,45,6,86.66666667
AO,66.57164241,82.21740832,14.42857143,84,20,76.19047619
AG,75.45454545,89.09090909,7.5,12,2,83.33333333
AR,70.00611736,97.80966278,305.7982456,114,24,78.94736842
AM,22.86018824,25.14817367,95.40869565,115,22,80.86956522
AW,66.66666667,46.875,0,8,8,0
AU,71.44151631,87.42590146,53.07207207,111,25,77.47747748
AT,53.1475256,54.00677452,26.70434783,115,23,80
AZ,17.19874407,20.08345914,25.82758621,116,21,81.89655172
BS,73.8304812,88.49881954,9.222222222,54,13,75.92592593
BH,21.58269716,86.83801284,88.05217391,115,22,80.86956522
BD,12.35289703,14.9134874,258.8803419,117,24,79.48717949
BB,89.56521739,127.173913,1.586206897,29,7,75.86206897
BY,9.95121096,10.57566345,44.8173913,115,9,92.17391304
BE,31.1275789,36.62507989,102.981982,111,22,80.18018018
BZ,50.7751938,93.60465116,53,1,0,100
BJ,106.5466289,147.9897783,32.875,48,13,72.91666667
BT,77.47747748,73.33333333,2.046511628,43,7,83.72093023
BO,30.37897796,30.18726448,202.036036,111,23,79.27927928
BA,47.35753175,45.84101554,74.01010101,99,16,83.83838384
BW,83.33333333,60,50.33333333,3,1,66.66666667
BR,35.42787978,42.1129568,7357.045455,110,20,81.81818182
BN,100,100,0.5,4,2,50
BG,39.71858807,47.51447879,35.86842105,114,29,74.56140351
BF,102.267167,140.1785486,6.879518072,83,15,81.92771084
BI,50,100,2.5,2,1,50
KH,123.2936508,144.8412698,6.888888889,27,7,74.07407407
CM,175.4517946,115.9348871,279.8431373,51,6,88.23529412
CA,33.19133404,37.24822708,191.0789474,114,19,83.33333333
CV,78.18373001,97.74713369,15.75,100,23,77
KY,66.87841839,45.66454028,1,8,2,75
CF,124.0859079,146.3953188,37.44155844,77,15,80.51948052
TD,100.9426339,105.6453849,8.044117647,68,15,77.94117647
CL,31.13953252,57.31501722,1019.657895,114,7,93.85964912
CN,88.36782372,91.83653917,20.86956522,92,14,84.7826087
CO,52.39548307,52.49865898,941.0186916,107,21,80.37383178
CG,58.09631079,56.40334147,51.82857143,35,7,80
CD,71.17931269,70.4478363,32.37272727,110,18,83.63636364
CR,65.43382892,59.10971201,63.59649123,114,22,80.70175439
HR,67.79296994,88.67035597,16.42424242,99,22,77.77777778
CU,79.08542807,95.49911148,8.115044248,113,21,81.4159292
CY,54.58375293,59.40795483,3.214285714,98,16,83.67346939
CZ,48.44989422,58.94417437,36.46491228,114,22,80.70175439
DK,214.2275379,220.5797432,35.03092784,97,15,84.53608247
DJ,212.8523407,529.7604119,19.87755102,98,22,77.55102041
DO,30.78038013,32.98328806,183.4869565,115,17,85.2173913
EC,74.16992149,86.53622639,590.3535354,99,8,91.91919192
EG,22.22691464,28.46876686,75.77586207,116,20,82.75862069
SV,18.04844558,149.5713046,17.12068966,116,22,81.03448276
GQ,99.40250099,87.4831419,122,20,2,90
ER,494.4958969,1498.687991,6.904761905,21,5,76.19047619
EE,105.7256461,115.6270321,5.148514851,101,21,79.20792079
ET,60.1178739,100.6387822,83.79439252,107,20,81.30841121
FJ,100,100,1.6,5,2,60
FI,97.74917485,120.0785932,17.37168142,113,22,80.53097345
FR,1061.801738,1613.704753,1073.153846,91,18,80.21978022
GF,67.29849677,47.58776064,2.625,8,1,87.5
GA,103.607004,124.8391929,60.17391304,69,9,86.95652174
