Country,Date,One_day,Two_day
AT,4/19/2020,100.0,144.44444444444446
AT,4/21/2020,66.66666666666667,47.61904761904761
AT,4/22/2020,21.05263157894737,42.10526315789474
AT,4/24/2020,75.0,150.0
AT,4/25/2020,66.66666666666667,150.0
AT,4/26/2020,16.666666666666668,66.66666666666667
AT,4/27/2020,14.285714285714285,0.0
AT,5/1/2020,60.0,200.0
AT,5/2/2020,14.285714285714285,14.285714285714285
AT,5/4/2020,150.0,200.0
AT,5/5/2020,50.0,16.666666666666668
AT,5/6/2020,50.0,0.0
AT,5/7/2020,300.0,300.0
AT,5/8/2020,60.0,20.0
AT,5/9/2020,200.0,0.0
AT,5/10/2020,0.0,0.0
AT,5/11/2020,50.0,50.0
AT,5/12/2020,33.333333333333336,33.333333333333336
AT,5/13/2020,100.0,100.0
AT,5/14/2020,50.0,0.0
AT,5/15/2020,50.0,50.0
AT,5/16/2020,0.0,0.0
AT,5/19/2020,100.0,66.66666666666667
AT,5/20/2020,0.0,100.0
AT,5/22/2020,100.0,100.0
AT,5/23/2020,75.0,100.0
AT,5/25/2020,0.0,0.0
AT,5/26/2020,50.0,50.0
AT,5/27/2020,50.0,50.0
AT,6/3/2020,100.0,200.0
AT,6/5/2020,100.0,100.0
AT,6/10/2020,100.0,100.0
AT,6/11/2020,100.0,100.0
AT,6/12/2020,100.0,100.0
AT,6/13/2020,100.0,100.0
AT,6/15/2020,100.0,100.0
AT,6/16/2020,100.0,66.66666666666667
AT,6/17/2020,83.33333333333333,83.33333333333333
AT,6/21/2020,0.0,0.0
AT,6/23/2020,66.66666666666667,33.333333333333336
AT,6/25/2020,80.0,60.0
AT,6/27/2020,50.0,50.0
AT,6/28/2020,50.0,50.0
AT,6/29/2020,100.0,100.0
AT,6/30/2020,0.0,0.0
AT,7/12/2020,100.0,100.0
AT,7/14/2020,100.0,100.0
AT,7/15/2020,100.0,100.0
AT,7/16/2020,100.0,100.0
AT,7/22/2020,100.0,100.0
AT,7/25/2020,100.0,100.0
AT,7/27/2020,100.0,100.0
AT,7/29/2020,100.0,100.0
AT,7/30/2020,100.0,100.0
AT,8/4/2020,100.0,0.0
AT,8/7/2020,100.0,0.0
AT,8/8/2020,100.0,100.0
AT,8/10/2020,100.0,100.0
AT,8/12/2020,100.0,0.0
AT,8/13/2020,100.0,0.0
