Country,Date,One_day,Two_day
AU,4/23/2020,75.0,100.0
AU,4/25/2020,300.0,300.0
AU,4/26/2020,33.333333333333336,66.66666666666667
AU,4/27/2020,25.0,50.0
AU,4/28/2020,60.0,60.0
AU,4/29/2020,50.0,0.0
AU,4/30/2020,50.0,50.0
AU,5/1/2020,50.0,50.0
AU,5/2/2020,100.0,100.0
AU,5/3/2020,0.0,100.0
AU,5/4/2020,100.0,100.0
AU,5/5/2020,0.0,100.0
AU,5/12/2020,100.0,100.0
AU,5/17/2020,100.0,100.0
AU,5/19/2020,100.0,100.0
AU,5/21/2020,100.0,100.0
AU,5/23/2020,100.0,100.0
AU,5/26/2020,100.0,100.0
AU,6/23/2020,100.0,100.0
AU,6/24/2020,100.0,100.0
AU,7/5/2020,100.0,100.0
AU,7/10/2020,100.0,100.0
AU,7/11/2020,100.0,100.0
AU,7/14/2020,100.0,66.66666666666667
AU,7/15/2020,100.0,100.0
AU,7/16/2020,66.66666666666667,66.66666666666667
AU,7/17/2020,50.0,50.0
AU,7/18/2020,50.0,50.0
AU,7/19/2020,100.0,100.0
AU,7/20/2020,33.333333333333336,0.0
AU,7/21/2020,50.0,50.0
AU,7/22/2020,40.0,40.0
AU,7/23/2020,50.0,33.333333333333336
AU,7/24/2020,33.333333333333336,33.333333333333336
AU,7/27/2020,0.0,0.0
AU,7/28/2020,33.333333333333336,33.333333333333336
AU,7/31/2020,100.0,100.0
AU,8/6/2020,9.090909090909092,18.181818181818183
AU,8/7/2020,8.333333333333334,0.0
AU,8/9/2020,33.333333333333336,33.333333333333336
AU,8/10/2020,22.222222222222218,22.222222222222218
AU,8/11/2020,33.333333333333336,28.57142857142857
