Country,Date,One_day,Two_day
BA,4/19/2020,100.0,200.0
BA,4/20/2020,0.0,100.0
BA,4/21/2020,50.0,50.0
BA,4/22/2020,50.0,50.0
BA,4/23/2020,0.0,0.0
BA,4/24/2020,0.0,0.0
BA,4/25/2020,50.0,50.0
BA,4/26/2020,50.0,50.0
BA,4/27/2020,0.0,0.0
BA,4/28/2020,66.66666666666667,66.66666666666667
BA,4/29/2020,0.0,50.0
BA,4/30/2020,50.0,50.0
BA,5/1/2020,200.0,100.0
BA,5/2/2020,0.0,50.0
BA,5/3/2020,60.0,60.0
BA,5/4/2020,200.0,0.0
BA,5/5/2020,200.0,200.0
BA,5/7/2020,25.0,75.0
BA,5/8/2020,50.0,50.0
BA,5/9/2020,75.0,25.0
BA,5/11/2020,100.0,0.0
BA,5/12/2020,25.0,100.0
BA,5/13/2020,66.66666666666667,66.66666666666667
BA,5/14/2020,50.0,150.0
BA,5/15/2020,50.0,50.0
BA,5/17/2020,50.0,25.0
BA,5/19/2020,100.0,100.0
BA,5/20/2020,0.0,0.0
BA,5/21/2020,75.0,50.0
BA,5/22/2020,0.0,0.0
BA,5/25/2020,50.0,50.0
BA,5/26/2020,66.66666666666667,66.66666666666667
BA,5/27/2020,50.0,50.0
BA,5/28/2020,50.0,50.0
BA,6/1/2020,100.0,0.0
BA,6/2/2020,100.0,100.0
BA,6/4/2020,100.0,100.0
BA,6/8/2020,100.0,0.0
BA,6/10/2020,100.0,100.0
BA,6/12/2020,100.0,100.0
BA,6/15/2020,100.0,50.0
BA,6/16/2020,100.0,66.66666666666667
BA,6/19/2020,0.0,0.0
BA,6/22/2020,100.0,50.0
BA,6/23/2020,0.0,0.0
BA,6/24/2020,0.0,100.0
BA,6/25/2020,100.0,50.0
BA,6/26/2020,66.66666666666667,66.66666666666667
BA,6/29/2020,83.33333333333333,83.33333333333333
BA,6/30/2020,0.0,50.0
BA,7/1/2020,0.0,50.0
BA,7/2/2020,100.0,200.0
BA,7/3/2020,0.0,50.0
BA,7/7/2020,62.5,75.0
BA,7/9/2020,40.0,20.0
BA,7/10/2020,100.0,100.0
BA,7/11/2020,33.333333333333336,33.333333333333336
BA,7/12/2020,100.0,100.0
BA,7/13/2020,20.0,0.0
BA,7/15/2020,55.555555555555564,33.333333333333336
BA,7/16/2020,20.0,20.0
BA,7/17/2020,20.0,20.0
BA,7/18/2020,300.0,400.0
BA,7/19/2020,33.333333333333336,33.333333333333336
BA,7/20/2020,33.333333333333336,16.666666666666668
BA,7/21/2020,55.555555555555564,44.444444444444436
BA,7/23/2020,0.0,16.666666666666668
BA,7/24/2020,16.666666666666668,0.0
BA,7/31/2020,27.272727272727273,36.36363636363637
BA,8/2/2020,46.153846153846146,30.76923076923077
BA,8/3/2020,10.0,20.0
BA,8/4/2020,0.0,9.090909090909092
BA,8/6/2020,120.0,120.0
BA,8/13/2020,80.0,120.0
