Country,Date,One_day,Two_day
BT,4/22/2020,100.0,100.0
BT,4/23/2020,100.0,100.0
BT,5/11/2020,100.0,100.0
BT,5/12/2020,100.0,100.0
BT,5/13/2020,75.0,75.0
BT,5/14/2020,20.0,80.0
BT,5/23/2020,66.66666666666667,100.0
BT,5/25/2020,100.0,100.0
BT,5/27/2020,0.0,0.0
BT,5/28/2020,66.66666666666667,33.333333333333336
BT,5/30/2020,50.0,0.0
BT,6/5/2020,200.0,400.0
BT,6/13/2020,100.0,0.0
BT,6/15/2020,100.0,0.0
BT,6/19/2020,0.0,0.0
BT,6/23/2020,100.0,150.0
BT,6/27/2020,80.0,100.0
BT,6/29/2020,0.0,0.0
BT,7/4/2020,100.0,0.0
BT,7/5/2020,100.0,50.0
BT,7/11/2020,50.0,50.0
BT,7/12/2020,50.0,50.0
BT,7/16/2020,50.0,100.0
BT,7/17/2020,100.0,100.0
BT,7/19/2020,100.0,100.0
BT,7/20/2020,100.0,100.0
BT,7/21/2020,50.0,100.0
BT,7/26/2020,66.66666666666667,66.66666666666667
BT,7/27/2020,75.0,75.0
BT,7/30/2020,100.0,0.0
BT,8/1/2020,100.0,100.0
BT,8/3/2020,0.0,100.0
BT,8/4/2020,100.0,0.0
BT,8/6/2020,66.66666666666667,66.66666666666667
BT,8/9/2020,100.0,50.0
BT,8/11/2020,100.0,66.66666666666667
