Country,Date,One_day,Two_day
CH,4/18/2020,24.39024390243902,34.14634146341464
CH,4/23/2020,2.5,5.0
CH,4/24/2020,2.5,5.0
CH,4/26/2020,275.0,387.5
CH,4/30/2020,23.809523809523807,100.0
CH,5/1/2020,41.1764705882353,58.82352941176471
CH,5/2/2020,137.5,162.5
CH,5/6/2020,20.0,30.0
CH,5/7/2020,140.0,200.0
CH,5/8/2020,53.846153846153854,15.384615384615385
CH,5/9/2020,42.857142857142854,0.0
CH,5/10/2020,200.0,200.0
CH,5/11/2020,58.33333333333334,16.666666666666668
CH,5/14/2020,250.0,750.0
CH,5/15/2020,16.666666666666668,16.666666666666668
CH,5/16/2020,700.0,600.0
CH,5/17/2020,150.0,300.0
CH,5/18/2020,60.0,0.0
CH,5/19/2020,60.0,60.0
CH,5/20/2020,200.0,100.0
CH,5/21/2020,66.66666666666667,50.0
CH,5/22/2020,40.0,60.0
CH,5/23/2020,50.0,50.0
CH,5/25/2020,57.14285714285714,57.14285714285714
CH,5/26/2020,50.0,50.0
CH,5/27/2020,0.0,50.0
CH,5/28/2020,0.0,0.0
CH,5/31/2020,0.0,100.0
CH,6/3/2020,100.0,100.0
CH,6/8/2020,100.0,100.0
CH,6/9/2020,100.0,100.0
CH,6/10/2020,0.0,100.0
CH,6/11/2020,200.0,100.0
CH,6/12/2020,100.0,200.0
CH,6/15/2020,100.0,200.0
CH,6/24/2020,0.0,50.0
CH,6/26/2020,100.0,75.0
CH,6/30/2020,0.0,0.0
CH,7/1/2020,50.0,50.0
CH,7/7/2020,100.0,0.0
CH,7/11/2020,100.0,100.0
CH,7/16/2020,100.0,100.0
CH,7/20/2020,100.0,100.0
CH,7/21/2020,100.0,100.0
CH,7/23/2020,100.0,66.66666666666667
CH,7/24/2020,100.0,50.0
CH,7/27/2020,0.0,0.0
CH,7/29/2020,100.0,0.0
CH,7/30/2020,100.0,0.0
CH,7/31/2020,0.0,100.0
CH,8/5/2020,100.0,66.66666666666667
CH,8/6/2020,100.0,100.0
CH,8/7/2020,100.0,0.0
CH,8/10/2020,100.0,0.0
CH,8/11/2020,100.0,66.66666666666667
CH,8/12/2020,0.0,0.0
