Country,Date,One_day,Two_day
CN,6/20/2020,100.0,100.0
CN,6/23/2020,100.0,100.0
CN,6/25/2020,100.0,100.0
CN,7/14/2020,100.0,100.0
CN,7/15/2020,100.0,100.0
CN,7/23/2020,0.0,100.0
CN,7/24/2020,100.0,0.0
CN,7/25/2020,50.0,50.0
CN,7/27/2020,75.0,75.0
CN,7/28/2020,0.0,0.0
CN,7/29/2020,100.0,100.0
CN,7/30/2020,0.0,100.0
CN,7/31/2020,0.0,0.0
CN,8/1/2020,66.66666666666667,66.66666666666667
CN,8/2/2020,0.0,0.0
CN,8/3/2020,33.333333333333336,0.0
CN,8/4/2020,50.0,25.0
CN,8/5/2020,100.0,300.0
CN,8/6/2020,33.333333333333336,0.0
CN,8/7/2020,100.0,200.0
CN,8/9/2020,60.0,40.0
CN,8/10/2020,33.333333333333336,33.333333333333336
CN,8/11/2020,0.0,0.0
CN,8/12/2020,50.0,50.0
CN,8/13/2020,33.333333333333336,33.333333333333336
