Country,Date,One_day,Two_day
CR,4/20/2020,100.0,100.0
CR,5/10/2020,100.0,100.0
CR,5/13/2020,100.0,100.0
CR,5/15/2020,100.0,100.0
CR,5/16/2020,100.0,100.0
CR,6/8/2020,100.0,100.0
CR,6/10/2020,100.0,100.0
CR,6/27/2020,100.0,100.0
CR,6/28/2020,100.0,100.0
CR,6/30/2020,100.0,100.0
CR,7/1/2020,100.0,100.0
CR,7/2/2020,100.0,0.0
CR,7/5/2020,0.0,0.0
CR,7/6/2020,100.0,75.0
CR,7/8/2020,50.0,50.0
CR,7/10/2020,0.0,100.0
CR,7/11/2020,50.0,50.0
CR,7/12/2020,50.0,50.0
CR,7/13/2020,50.0,50.0
CR,7/14/2020,33.333333333333336,33.333333333333336
CR,7/15/2020,33.333333333333336,0.0
CR,7/16/2020,0.0,0.0
CR,7/17/2020,60.0,40.0
CR,7/18/2020,57.14285714285714,57.14285714285714
CR,7/19/2020,50.0,50.0
CR,7/21/2020,150.0,150.0
CR,7/22/2020,66.66666666666667,100.0
CR,7/24/2020,14.285714285714285,28.57142857142857
CR,7/28/2020,20.0,10.0
CR,7/29/2020,0.0,0.0
CR,7/30/2020,28.57142857142857,42.857142857142854
CR,7/31/2020,0.0,0.0
CR,8/3/2020,0.0,11.111111111111109
CR,8/4/2020,10.0,10.0
CR,8/5/2020,20.0,0.0
CR,8/6/2020,11.111111111111109,11.111111111111109
CR,8/9/2020,42.857142857142854,57.14285714285714
CR,8/10/2020,22.222222222222218,22.222222222222218
CR,8/11/2020,0.0,0.0
CR,8/12/2020,37.5,50.0
CR,8/13/2020,22.222222222222218,44.444444444444436
