Country,Date,One_day,Two_day
ET,4/18/2020,44.444444444444436,33.333333333333336
ET,4/19/2020,133.33333333333334,66.66666666666667
ET,4/20/2020,100.0,133.33333333333334
ET,4/21/2020,66.66666666666667,100.0
ET,4/22/2020,50.0,50.0
ET,4/24/2020,100.0,100.0
ET,4/25/2020,80.0,80.0
ET,4/26/2020,100.0,100.0
ET,4/27/2020,200.0,200.0
ET,4/28/2020,0.0,50.0
ET,4/29/2020,75.0,75.0
ET,4/30/2020,100.0,0.0
ET,5/1/2020,0.0,50.0
ET,5/3/2020,50.0,50.0
ET,5/4/2020,80.0,80.0
ET,5/5/2020,60.0,80.0
ET,5/6/2020,76.47058823529412,82.3529411764706
ET,5/7/2020,68.96551724137932,86.20689655172414
ET,5/8/2020,466.66666666666674,266.6666666666667
ET,5/9/2020,25.0,43.75
ET,5/10/2020,37.93103448275862,31.03448275862069
ET,5/11/2020,45.45454545454545,0.0
ET,5/12/2020,90.9090909090909,100.0
ET,5/13/2020,750.0,1000.0
ET,5/14/2020,88.8888888888889,44.444444444444436
ET,5/15/2020,0.0,33.333333333333336
ET,5/16/2020,42.10526315789474,10.526315789473683
ET,5/17/2020,9.090909090909092,0.0
ET,5/18/2020,65.71428571428571,60.0
ET,5/19/2020,69.23076923076923,15.384615384615385
ET,5/20/2020,4.166666666666667,4.166666666666667
ET,5/21/2020,150.0,160.0
ET,5/22/2020,35.29411764705883,14.705882352941178
ET,5/23/2020,54.098360655737714,57.377049180327866
ET,5/25/2020,53.42465753424658,54.794520547945204
ET,5/26/2020,67.3913043478261,15.217391304347824
ET,5/27/2020,196.66666666666663,196.66666666666663
ET,5/28/2020,15.0,3.0
ET,5/29/2020,29.927007299270073,29.927007299270073
ET,5/30/2020,14.73684210526316,15.789473684210524
ET,5/31/2020,3.669724770642202,13.761467889908257
ET,6/1/2020,57.647058823529406,49.411764705882355
ET,6/2/2020,73.5632183908046,74.71264367816093
ET,6/3/2020,1.4084507042253518,21.83098591549296
ET,6/4/2020,10.0,4.666666666666667
ET,6/5/2020,11.83431952662722,11.83431952662722
ET,6/6/2020,28.68217054263566,30.232558139534888
ET,6/7/2020,104.65116279069768,113.953488372093
ET,6/8/2020,23.529411764705888,43.38235294117647
ET,6/9/2020,9.444444444444443,1.6666666666666667
ET,6/10/2020,0.0,4.117647058823529
ET,6/11/2020,2.4390243902439024,12.19512195121951
ET,6/12/2020,28.57142857142857,26.530612244897963
ET,6/13/2020,11.553784860557768,24.302788844621514
ET,6/14/2020,40.782122905027926,35.195530726256976
ET,6/15/2020,39.77272727272727,56.25
ET,6/16/2020,122.0183486238532,144.03669724770643
ET,6/17/2020,68.21705426356588,100.0
ET,6/18/2020,7.17948717948718,18.46153846153846
ET,6/19/2020,43.96551724137931,62.93103448275862
ET,6/22/2020,46.564885496183216,67.93893129770993
ET,6/23/2020,1.0810810810810811,8.108108108108109
ET,6/24/2020,0.5376344086021505,2.150537634408602
ET,6/25/2020,40.42553191489362,34.04255319148936
ET,6/26/2020,20.4,18.8
ET,6/27/2020,42.75862068965517,43.44827586206897
ET,6/28/2020,63.865546218487395,78.15126050420169
ET,6/29/2020,3.1847133757961785,28.662420382165607
ET,7/10/2020,22.448979591836732,4.081632653061225
ET,7/11/2020,27.30496453900709,33.333333333333336
ET,7/12/2020,61.39240506329114,36.07594936708861
ET,7/13/2020,37.864077669902905,30.582524271844658
ET,7/14/2020,58.620689655172406,47.783251231527096
ET,7/15/2020,70.28301886792453,61.79245283018867
ET,7/16/2020,36.734693877551024,30.612244897959183
ET,7/17/2020,22.256097560975608,30.792682926829272
ET,7/18/2020,20.05813953488372,22.67441860465116
ET,7/19/2020,13.483146067415731,18.820224719101123
ET,7/23/2020,1.4669926650366751,13.691931540342296
ET,7/28/2020,14.39509954058193,8.116385911179172
ET,7/29/2020,26.885245901639344,25.901639344262296
ET,7/31/2020,8.196721311475411,10.601092896174864
ET,8/3/2020,45.96912521440822,54.202401372212684
ET,8/4/2020,36.734693877551024,53.061224489795926
ET,8/5/2020,72.11328976034858,83.8779956427015
ET,8/6/2020,30.67375886524823,46.80851063829788
ET,8/7/2020,29.16666666666667,38.94927536231884
