Country,Date,One_day,Two_day
ET,5/9/2020,100.0,100.0
ET,5/26/2020,100.0,100.0
ET,5/28/2020,100.0,100.0
ET,5/29/2020,100.0,100.0
ET,5/31/2020,100.0,100.0
ET,6/1/2020,0.0,100.0
ET,6/2/2020,50.0,50.0
ET,6/3/2020,66.66666666666667,66.66666666666667
ET,6/4/2020,100.0,0.0
ET,6/5/2020,100.0,100.0
ET,6/6/2020,100.0,100.0
ET,6/7/2020,71.42857142857143,71.42857142857143
ET,6/9/2020,60.0,40.0
ET,6/10/2020,0.0,33.333333333333336
ET,6/11/2020,40.0,40.0
ET,6/12/2020,42.857142857142854,57.14285714285714
ET,6/13/2020,50.0,50.0
ET,6/14/2020,200.0,100.0
ET,6/15/2020,100.0,166.66666666666666
ET,6/16/2020,500.0,500.0
ET,6/17/2020,100.0,200.0
ET,6/18/2020,50.0,200.0
ET,6/19/2020,71.42857142857143,42.857142857142854
ET,6/21/2020,0.0,50.0
ET,6/22/2020,100.0,200.0
ET,6/24/2020,33.333333333333336,0.0
ET,6/25/2020,33.333333333333336,33.333333333333336
ET,6/26/2020,75.0,75.0
ET,6/27/2020,40.0,40.0
ET,6/28/2020,50.0,25.0
ET,6/29/2020,40.0,40.0
ET,7/12/2020,0.0,33.333333333333336
ET,7/13/2020,300.0,300.0
ET,7/15/2020,14.285714285714285,28.57142857142857
ET,7/16/2020,250.0,200.0
ET,7/17/2020,100.0,250.0
ET,7/20/2020,100.0,100.0
ET,7/22/2020,37.5,12.5
ET,7/23/2020,44.444444444444436,33.333333333333336
ET,7/24/2020,100.0,100.0
ET,7/25/2020,33.333333333333336,33.333333333333336
ET,7/26/2020,42.857142857142854,42.857142857142854
ET,7/28/2020,18.181818181818183,18.181818181818183
ET,7/29/2020,28.57142857142857,35.714285714285715
ET,7/30/2020,10.0,10.0
ET,7/31/2020,9.090909090909092,18.181818181818183
ET,8/1/2020,20.0,30.0
ET,8/3/2020,42.307692307692314,46.153846153846146
ET,8/5/2020,23.07692307692308,30.76923076923077
ET,8/6/2020,77.77777777777777,100.0
ET,8/7/2020,0.0,13.333333333333336
ET,8/8/2020,50.0,60.0
ET,8/10/2020,23.07692307692308,23.07692307692308
ET,8/12/2020,39.130434782608695,34.78260869565217
