Country,Date,One_day,Two_day
GH,4/24/2020,100.0,100.0
GH,4/26/2020,100.0,100.0
GH,5/2/2020,100.0,0.0
GH,5/9/2020,100.0,100.0
GH,5/13/2020,100.0,100.0
GH,5/15/2020,100.0,75.0
GH,5/16/2020,0.0,100.0
GH,5/19/2020,100.0,50.0
GH,5/26/2020,100.0,100.0
GH,5/30/2020,100.0,100.0
GH,5/31/2020,100.0,100.0
GH,6/2/2020,100.0,100.0
GH,6/5/2020,100.0,100.0
GH,6/6/2020,50.0,100.0
GH,6/8/2020,75.0,75.0
GH,6/14/2020,100.0,100.0
GH,6/16/2020,75.0,75.0
GH,6/26/2020,75.0,62.5
GH,6/28/2020,66.66666666666667,66.66666666666667
GH,7/5/2020,60.0,40.0
GH,7/6/2020,71.42857142857143,71.42857142857143
GH,7/10/2020,83.33333333333333,66.66666666666667
GH,7/12/2020,75.0,50.0
GH,7/17/2020,80.0,80.0
GH,7/19/2020,66.66666666666667,33.333333333333336
GH,7/20/2020,80.0,80.0
GH,7/24/2020,87.5,75.0
GH,7/26/2020,85.71428571428571,71.42857142857143
GH,7/29/2020,71.42857142857143,57.14285714285714
GH,7/31/2020,71.42857142857143,57.14285714285714
GH,8/3/2020,77.77777777777777,66.66666666666667
GH,8/5/2020,75.0,62.5
GH,8/7/2020,85.71428571428571,42.857142857142854
GH,8/9/2020,77.77777777777777,55.555555555555564
GH,8/12/2020,75.0,75.0
