Country,Date,One_day,Two_day
GM,4/30/2020,100.0,100.0
GM,5/1/2020,100.0,100.0
GM,5/2/2020,100.0,100.0
GM,5/7/2020,100.0,100.0
GM,5/8/2020,100.0,100.0
GM,5/11/2020,100.0,50.0
GM,5/13/2020,0.0,0.0
GM,5/18/2020,0.0,100.0
GM,5/22/2020,100.0,0.0
GM,6/3/2020,0.0,100.0
GM,6/8/2020,100.0,100.0
GM,6/15/2020,50.0,100.0
GM,6/16/2020,100.0,100.0
GM,6/18/2020,50.0,100.0
GM,6/20/2020,200.0,400.0
GM,6/22/2020,50.0,50.0
GM,6/23/2020,200.0,200.0
GM,6/25/2020,100.0,100.0
GM,6/27/2020,100.0,0.0
GM,6/28/2020,100.0,0.0
GM,6/29/2020,100.0,50.0
GM,6/30/2020,50.0,0.0
GM,7/2/2020,100.0,83.33333333333333
GM,7/4/2020,50.0,0.0
GM,7/6/2020,50.0,50.0
GM,7/9/2020,50.0,0.0
GM,7/10/2020,0.0,100.0
GM,7/16/2020,92.85714285714286,92.85714285714286
GM,7/18/2020,86.66666666666669,73.33333333333333
GM,7/20/2020,84.21052631578948,73.6842105263158
GM,7/22/2020,79.41176470588233,70.58823529411767
GM,7/23/2020,20.83333333333333,58.33333333333334
GM,7/25/2020,32.786885245901644,37.70491803278689
GM,7/27/2020,18.367346938775512,77.55102040816327
GM,8/6/2020,25.735294117647058,41.1764705882353
GM,8/9/2020,18.620689655172416,20.0
