Country,Date,One_day,Two_day
HN,4/18/2020,13.333333333333336,33.333333333333336
HN,4/19/2020,20.0,13.333333333333336
HN,4/20/2020,200.0,160.0
HN,4/21/2020,35.29411764705883,11.764705882352944
HN,4/22/2020,44.0,56.0
HN,4/23/2020,66.66666666666667,33.333333333333336
HN,4/24/2020,74.4186046511628,53.488372093023266
HN,4/27/2020,44.11764705882353,26.470588235294123
HN,4/28/2020,29.268292682926827,48.78048780487804
HN,4/29/2020,69.56521739130434,69.56521739130434
HN,4/30/2020,21.21212121212121,46.96969696969697
HN,5/1/2020,59.375,56.25
HN,5/2/2020,60.67961165048544,74.27184466019419
HN,5/3/2020,100.0,95.55555555555556
HN,5/4/2020,1.6260162601626016,4.878048780487805
HN,5/5/2020,48.91304347826087,47.82608695652174
HN,5/6/2020,52.35602094240838,50.785340314136135
HN,5/7/2020,32.589285714285715,56.25
HN,5/8/2020,88.3720930232558,75.5813953488372
HN,5/9/2020,222.03389830508476,242.3728813559322
HN,5/10/2020,33.098591549295776,29.5774647887324
HN,5/11/2020,14.84375,32.8125
HN,5/13/2020,81.71428571428571,31.42857142857143
HN,5/14/2020,77.77777777777777,12.698412698412698
HN,5/15/2020,21.83098591549296,16.197183098591548
HN,5/16/2020,5.7142857142857135,13.333333333333336
HN,5/17/2020,29.62962962962963,45.679012345679006
HN,5/18/2020,16.44736842105263,28.28947368421053
HN,5/19/2020,22.929936305732483,13.375796178343947
HN,5/21/2020,56.22489959839358,38.152610441767074
HN,5/22/2020,46.88644688644688,57.509157509157504
HN,5/25/2020,35.56485355648535,13.807531380753135
HN,5/26/2020,46.698113207547166,22.641509433962263
HN,5/27/2020,23.84937238493724,39.74895397489539
HN,5/28/2020,152.67857142857142,184.82142857142856
HN,6/1/2020,11.875,35.0
HN,6/2/2020,4.242424242424242,12.727272727272727
HN,6/3/2020,4.294478527607362,1.2269938650306749
HN,6/4/2020,8.947368421052632,6.842105263157895
HN,6/5/2020,85.71428571428571,137.36263736263737
HN,6/6/2020,11.41304347826087,5.434782608695652
HN,6/7/2020,1.162790697674419,1.162790697674419
HN,6/8/2020,39.83739837398374,42.27642276422764
HN,6/10/2020,44.941176470588225,60.70588235294117
HN,6/11/2020,2.26537216828479,22.006472491909385
HN,6/12/2020,25.05399568034557,28.293736501079913
HN,6/13/2020,31.26934984520124,12.693498452012385
HN,6/14/2020,17.617866004962778,10.918114143920596
HN,6/15/2020,39.0625,56.5625
HN,6/16/2020,13.807531380753135,2.092050209205021
HN,6/17/2020,29.393468118195955,32.8149300155521
HN,6/19/2020,1.348747591522158,0.9633911368015414
HN,6/22/2020,16.69505962521295,36.28620102214651
HN,6/23/2020,20.95400340715502,22.31686541737649
HN,6/24/2020,19.90445859872612,18.949044585987263
HN,6/25/2020,2.8930817610062887,0.7547169811320755
HN,6/26/2020,25.955414012738853,28.662420382165607
HN,6/28/2020,16.0,20.46511627906977
HN,6/30/2020,26.621621621621625,25.40540540540541
HN,7/1/2020,35.9375,38.35227272727273
HN,7/2/2020,13.053613053613054,15.734265734265735
HN,7/3/2020,0.7028112449799196,1.0040160642570282
HN,7/7/2020,27.653997378768018,41.41546526867628
HN,7/9/2020,130.7881773399015,147.04433497536942
HN,7/11/2020,60.0,70.94339622641509
HN,7/12/2020,51.87376725838264,71.00591715976331
HN,7/13/2020,47.4437627811861,60.736196319018404
HN,7/16/2020,24.548736462093864,35.49939831528279
HN,7/17/2020,23.690205011389523,27.5626423690205
HN,7/18/2020,29.484732824427482,35.01908396946565
HN,7/19/2020,23.6084452975048,27.83109404990403
HN,7/21/2020,24.250681198910083,21.11716621253406
HN,7/22/2020,24.702774108322323,22.853368560105682
HN,7/23/2020,22.0,20.125
HN,7/24/2020,44.90106544901065,51.293759512937605
HN,7/26/2020,9.785202863961814,11.813842482100238
HN,7/30/2020,55.60165975103735,65.56016597510373
HN,7/31/2020,20.57823129251701,29.25170068027211
HN,8/1/2020,1.0432190760059612,6.408345752608048
HN,8/2/2020,32.6171875,33.59375
HN,8/3/2020,5.025125628140704,14.907872696817419
HN,8/4/2020,17.821782178217823,25.544554455445546
HN,8/6/2020,6.849315068493151,7.610350076103502
HN,8/7/2020,4.262295081967213,0.9836065573770492
HN,8/8/2020,7.401315789473684,5.592105263157895
HN,8/9/2020,36.59043659043659,37.21413721413722
HN,8/10/2020,50.23923444976077,58.3732057416268
HN,8/11/2020,15.819209039548022,19.209039548022602
HN,8/13/2020,47.79220779220778,58.18181818181818
