Country,Date,One_day,Two_day
HR,4/23/2020,100.0,50.0
HR,4/24/2020,0.0,100.0
HR,4/25/2020,66.66666666666667,66.66666666666667
HR,4/26/2020,100.0,0.0
HR,4/28/2020,25.0,50.0
HR,4/29/2020,25.0,50.0
HR,4/30/2020,100.0,50.0
HR,5/3/2020,100.0,100.0
HR,5/4/2020,200.0,300.0
HR,5/5/2020,66.66666666666667,33.333333333333336
HR,5/6/2020,0.0,50.0
HR,5/7/2020,100.0,100.0
HR,5/9/2020,100.0,0.0
HR,5/10/2020,100.0,100.0
HR,5/11/2020,0.0,100.0
HR,5/13/2020,100.0,33.333333333333336
HR,5/15/2020,0.0,0.0
HR,5/19/2020,100.0,100.0
HR,5/21/2020,100.0,100.0
HR,5/22/2020,100.0,100.0
HR,5/25/2020,100.0,100.0
HR,5/26/2020,100.0,100.0
HR,5/28/2020,100.0,100.0
HR,5/29/2020,100.0,100.0
HR,6/6/2020,100.0,100.0
HR,6/9/2020,100.0,100.0
HR,6/12/2020,100.0,100.0
HR,7/1/2020,100.0,100.0
HR,7/2/2020,100.0,100.0
HR,7/3/2020,100.0,100.0
HR,7/4/2020,100.0,100.0
HR,7/8/2020,0.0,0.0
HR,7/9/2020,0.0,0.0
HR,7/10/2020,50.0,50.0
HR,7/11/2020,0.0,0.0
HR,7/12/2020,100.0,0.0
HR,7/14/2020,100.0,0.0
HR,7/20/2020,100.0,100.0
HR,7/21/2020,100.0,100.0
HR,7/22/2020,100.0,100.0
HR,7/23/2020,100.0,100.0
HR,7/25/2020,100.0,80.0
HR,7/26/2020,66.66666666666667,66.66666666666667
HR,7/27/2020,66.66666666666667,66.66666666666667
HR,7/28/2020,0.0,100.0
HR,7/29/2020,0.0,100.0
HR,7/30/2020,66.66666666666667,33.333333333333336
HR,7/31/2020,0.0,100.0
HR,8/3/2020,75.0,50.0
HR,8/6/2020,0.0,100.0
HR,8/8/2020,50.0,50.0
HR,8/10/2020,0.0,0.0
HR,8/11/2020,50.0,50.0
HR,8/13/2020,100.0,0.0
