Country,Date,One_day,Two_day
IS,4/21/2020,80.0,100.0
IS,4/22/2020,14.285714285714285,71.42857142857143
IS,4/23/2020,0.0,0.0
IS,4/25/2020,0.0,400.0
IS,4/26/2020,50.0,0.0
IS,4/28/2020,66.66666666666667,66.66666666666667
IS,4/29/2020,0.0,50.0
IS,5/1/2020,100.0,100.0
IS,5/3/2020,100.0,100.0
IS,5/7/2020,100.0,100.0
IS,5/13/2020,100.0,100.0
IS,5/20/2020,0.0,100.0
IS,5/23/2020,0.0,100.0
IS,5/27/2020,0.0,100.0
IS,5/30/2020,0.0,100.0
IS,6/7/2020,100.0,100.0
IS,6/13/2020,100.0,100.0
IS,6/14/2020,100.0,100.0
IS,6/16/2020,100.0,100.0
IS,6/17/2020,66.66666666666667,100.0
IS,6/18/2020,100.0,100.0
IS,6/19/2020,66.66666666666667,33.333333333333336
IS,6/20/2020,33.333333333333336,66.66666666666667
IS,6/21/2020,100.0,200.0
IS,6/23/2020,100.0,200.0
IS,6/26/2020,50.0,0.0
IS,6/27/2020,75.0,25.0
IS,6/28/2020,0.0,50.0
IS,6/29/2020,50.0,50.0
IS,6/30/2020,0.0,50.0
IS,7/1/2020,60.0,40.0
IS,7/2/2020,0.0,33.333333333333336
IS,7/3/2020,40.0,0.0
IS,7/4/2020,60.0,20.0
IS,7/5/2020,33.333333333333336,33.333333333333336
IS,7/6/2020,33.333333333333336,100.0
IS,7/7/2020,57.14285714285714,14.285714285714285
IS,7/8/2020,57.14285714285714,42.857142857142854
IS,7/10/2020,0.0,50.0
IS,7/11/2020,50.0,150.0
IS,7/13/2020,0.0,50.0
IS,7/14/2020,20.0,20.0
IS,7/15/2020,66.66666666666667,16.666666666666668
IS,7/16/2020,33.333333333333336,33.333333333333336
IS,7/17/2020,0.0,100.0
IS,7/18/2020,66.66666666666667,66.66666666666667
IS,7/19/2020,75.0,62.5
IS,7/23/2020,100.0,100.0
IS,7/24/2020,100.0,100.0
IS,7/26/2020,100.0,75.0
IS,7/27/2020,85.71428571428571,85.71428571428571
IS,7/28/2020,33.333333333333336,66.66666666666667
IS,7/29/2020,0.0,0.0
IS,7/31/2020,30.76923076923077,46.153846153846146
IS,8/6/2020,166.66666666666666,233.33333333333331
IS,8/9/2020,333.3333333333333,533.3333333333334
IS,8/10/2020,175.0,250.0
IS,8/11/2020,16.666666666666668,100.0
IS,8/12/2020,75.0,150.0
IS,8/13/2020,50.0,100.0
