Country,Date,One_day,Two_day
JP,4/21/2020,3.703703703703704,11.111111111111109
JP,4/25/2020,113.33333333333331,133.33333333333334
JP,4/27/2020,61.53846153846154,46.153846153846146
JP,4/28/2020,44.444444444444436,22.222222222222218
JP,4/30/2020,11.764705882352944,35.29411764705883
JP,5/1/2020,40.0,40.0
JP,5/2/2020,10.526315789473683,15.789473684210524
JP,5/3/2020,61.53846153846154,61.53846153846154
JP,5/7/2020,42.857142857142854,66.66666666666667
JP,5/8/2020,30.76923076923077,7.6923076923076925
JP,5/9/2020,29.411764705882355,23.529411764705888
JP,5/10/2020,0.0,17.647058823529417
JP,5/11/2020,66.66666666666667,66.66666666666667
JP,5/13/2020,9.523809523809524,33.333333333333336
JP,5/14/2020,26.315789473684212,5.2631578947368425
JP,5/15/2020,12.5,12.5
JP,5/16/2020,16.666666666666668,16.666666666666668
JP,5/17/2020,21.05263157894737,26.315789473684212
JP,5/23/2020,41.66666666666666,41.66666666666666
JP,5/25/2020,20.0,30.0
JP,5/26/2020,43.75,50.0
JP,5/27/2020,16.666666666666668,25.0
JP,5/30/2020,42.857142857142854,57.14285714285714
JP,5/31/2020,150.0,150.0
JP,6/1/2020,700.0,900.0
JP,6/2/2020,100.0,166.66666666666666
JP,6/3/2020,0.0,100.0
JP,6/4/2020,50.0,50.0
JP,6/5/2020,60.0,40.0
JP,6/7/2020,50.0,50.0
JP,6/8/2020,33.333333333333336,0.0
JP,6/10/2020,50.0,0.0
JP,6/12/2020,50.0,50.0
JP,6/13/2020,66.66666666666667,66.66666666666667
JP,6/15/2020,50.0,50.0
JP,6/16/2020,80.0,80.0
JP,6/17/2020,100.0,0.0
JP,6/23/2020,70.0,70.0
JP,6/24/2020,100.0,100.0
JP,6/25/2020,0.0,0.0
JP,6/28/2020,100.0,400.0
JP,7/1/2020,50.0,25.0
JP,7/2/2020,0.0,200.0
JP,7/6/2020,0.0,0.0
JP,7/7/2020,66.66666666666667,66.66666666666667
JP,7/8/2020,0.0,0.0
JP,7/12/2020,100.0,0.0
JP,7/13/2020,0.0,100.0
JP,7/16/2020,100.0,0.0
JP,7/18/2020,100.0,100.0
JP,7/20/2020,100.0,50.0
JP,7/22/2020,100.0,50.0
JP,7/23/2020,100.0,50.0
JP,7/24/2020,50.0,50.0
JP,7/25/2020,50.0,50.0
JP,7/26/2020,50.0,50.0
JP,7/28/2020,33.333333333333336,0.0
JP,7/30/2020,66.66666666666667,66.66666666666667
JP,7/31/2020,100.0,100.0
JP,8/1/2020,50.0,25.0
JP,8/2/2020,100.0,200.0
JP,8/3/2020,60.0,20.0
JP,8/4/2020,40.0,20.0
JP,8/5/2020,40.0,40.0
JP,8/6/2020,33.333333333333336,16.666666666666668
JP,8/7/2020,37.5,50.0
JP,8/9/2020,20.0,20.0
JP,8/10/2020,20.0,20.0
JP,8/11/2020,16.666666666666668,16.666666666666668
JP,8/12/2020,37.5,37.5
JP,8/13/2020,28.57142857142857,28.57142857142857
