Country,Date,One_day,Two_day
KH,5/23/2020,100.0,100.0
KH,5/30/2020,100.0,100.0
KH,6/7/2020,100.0,100.0
KH,6/13/2020,50.0,100.0
KH,6/18/2020,100.0,0.0
KH,6/22/2020,0.0,100.0
KH,6/26/2020,100.0,100.0
KH,6/27/2020,100.0,100.0
KH,7/13/2020,66.66666666666667,33.333333333333336
KH,7/15/2020,500.0,800.0
KH,7/16/2020,40.0,80.0
KH,7/23/2020,50.0,50.0
KH,7/30/2020,62.5,75.0
KH,7/31/2020,20.0,20.0
KH,8/1/2020,300.0,400.0
KH,8/4/2020,100.0,66.66666666666667
KH,8/7/2020,100.0,100.0
KH,8/8/2020,100.0,50.0
KH,8/9/2020,100.0,66.66666666666667
KH,8/13/2020,400.0,500.0
