Country,Date,One_day,Two_day
KR,4/19/2020,0.0,0.0
KR,4/21/2020,100.0,0.0
KR,4/27/2020,50.0,100.0
KR,4/28/2020,50.0,50.0
KR,4/30/2020,0.0,0.0
KR,5/3/2020,50.0,50.0
KR,5/4/2020,50.0,50.0
KR,5/6/2020,0.0,0.0
KR,5/13/2020,0.0,0.0
KR,5/20/2020,100.0,100.0
KR,5/25/2020,100.0,100.0
KR,5/31/2020,100.0,100.0
KR,6/1/2020,100.0,100.0
KR,6/2/2020,100.0,100.0
KR,6/8/2020,100.0,100.0
KR,6/15/2020,100.0,0.0
KR,6/16/2020,100.0,100.0
KR,6/17/2020,100.0,100.0
KR,6/22/2020,100.0,100.0
KR,6/24/2020,100.0,0.0
KR,7/3/2020,100.0,100.0
KR,7/5/2020,100.0,100.0
KR,7/6/2020,100.0,100.0
KR,7/11/2020,100.0,0.0
KR,7/16/2020,100.0,100.0
KR,7/18/2020,100.0,0.0
KR,7/19/2020,100.0,0.0
KR,7/21/2020,100.0,0.0
KR,7/23/2020,100.0,0.0
KR,7/26/2020,100.0,0.0
KR,7/27/2020,100.0,0.0
KR,7/30/2020,100.0,100.0
KR,8/4/2020,100.0,100.0
KR,8/6/2020,100.0,100.0
KR,8/7/2020,100.0,100.0
KR,8/8/2020,100.0,100.0
