Country,Date,One_day,Two_day
LR,4/25/2020,100.0,100.0
LR,4/28/2020,100.0,75.0
LR,5/1/2020,50.0,100.0
LR,5/5/2020,100.0,100.0
LR,5/17/2020,100.0,100.0
LR,5/18/2020,100.0,100.0
LR,5/19/2020,100.0,100.0
LR,5/22/2020,100.0,100.0
LR,5/23/2020,100.0,100.0
LR,5/27/2020,100.0,100.0
LR,6/2/2020,100.0,100.0
LR,6/5/2020,100.0,100.0
LR,6/9/2020,100.0,100.0
LR,6/12/2020,100.0,100.0
LR,6/15/2020,100.0,0.0
LR,6/21/2020,100.0,100.0
LR,6/29/2020,100.0,100.0
LR,7/1/2020,100.0,100.0
LR,7/6/2020,100.0,100.0
LR,7/7/2020,100.0,100.0
LR,7/9/2020,100.0,0.0
LR,7/12/2020,75.0,75.0
LR,7/18/2020,200.0,200.0
LR,7/23/2020,0.0,100.0
LR,7/26/2020,100.0,100.0
LR,7/30/2020,100.0,100.0
LR,7/31/2020,100.0,100.0
LR,8/2/2020,100.0,100.0
LR,8/3/2020,100.0,100.0
LR,8/8/2020,100.0,0.0
LR,8/11/2020,100.0,100.0
LR,8/12/2020,100.0,100.0
