Country,Date,One_day,Two_day
LU,4/20/2020,50.0,50.0
LU,4/21/2020,66.66666666666667,100.0
LU,4/22/2020,0.0,50.0
LU,4/23/2020,33.333333333333336,33.333333333333336
LU,4/24/2020,0.0,0.0
LU,4/28/2020,0.0,100.0
LU,4/30/2020,100.0,100.0
LU,5/1/2020,100.0,100.0
LU,5/7/2020,100.0,100.0
LU,5/9/2020,0.0,0.0
LU,5/12/2020,100.0,500.0
LU,5/13/2020,100.0,100.0
LU,5/15/2020,100.0,100.0
LU,5/19/2020,100.0,100.0
LU,7/12/2020,100.0,100.0
LU,7/23/2020,100.0,100.0
LU,7/28/2020,100.0,100.0
LU,7/29/2020,100.0,100.0
LU,8/1/2020,100.0,100.0
LU,8/2/2020,100.0,100.0
LU,8/3/2020,100.0,0.0
LU,8/6/2020,100.0,0.0
LU,8/8/2020,100.0,0.0
LU,8/10/2020,100.0,0.0
LU,8/11/2020,100.0,100.0
