Country,Date,One_day,Two_day
NO,4/20/2020,100.0,500.0
NO,4/21/2020,100.0,100.0
NO,4/29/2020,100.0,100.0
NO,5/6/2020,0.0,0.0
NO,5/7/2020,0.0,0.0
NO,5/8/2020,0.0,0.0
NO,5/9/2020,0.0,0.0
NO,5/12/2020,50.0,100.0
NO,5/20/2020,100.0,100.0
NO,5/21/2020,100.0,100.0
NO,5/28/2020,100.0,100.0
NO,6/2/2020,100.0,100.0
NO,6/4/2020,100.0,100.0
NO,6/8/2020,100.0,100.0
NO,6/18/2020,100.0,100.0
NO,6/30/2020,100.0,0.0
NO,7/1/2020,100.0,0.0
NO,7/9/2020,100.0,100.0
NO,7/13/2020,100.0,100.0
NO,7/16/2020,100.0,100.0
NO,7/17/2020,100.0,100.0
NO,8/3/2020,100.0,100.0
NO,8/13/2020,100.0,100.0
