Country,Date,One_day,Two_day
NP,5/17/2020,100.0,100.0
NP,5/21/2020,100.0,100.0
NP,5/25/2020,100.0,100.0
NP,5/28/2020,100.0,100.0
NP,5/29/2020,100.0,100.0
NP,5/31/2020,100.0,100.0
NP,6/3/2020,0.0,0.0
NP,6/4/2020,100.0,0.0
NP,6/5/2020,0.0,100.0
NP,6/6/2020,100.0,50.0
NP,6/8/2020,0.0,0.0
NP,6/9/2020,0.0,0.0
NP,6/12/2020,100.0,0.0
NP,6/13/2020,100.0,100.0
NP,6/14/2020,100.0,100.0
NP,6/17/2020,0.0,0.0
NP,6/18/2020,50.0,50.0
NP,6/21/2020,100.0,0.0
NP,6/23/2020,100.0,0.0
NP,6/25/2020,100.0,50.0
NP,6/26/2020,100.0,0.0
NP,6/27/2020,100.0,0.0
NP,6/29/2020,100.0,0.0
NP,7/1/2020,100.0,0.0
NP,7/2/2020,100.0,0.0
NP,7/3/2020,100.0,0.0
NP,7/4/2020,100.0,50.0
NP,7/6/2020,100.0,0.0
NP,7/17/2020,100.0,100.0
NP,7/22/2020,100.0,100.0
NP,7/23/2020,100.0,100.0
NP,7/24/2020,100.0,100.0
NP,7/25/2020,100.0,100.0
NP,7/31/2020,75.0,75.0
NP,8/4/2020,0.0,100.0
NP,8/5/2020,50.0,0.0
NP,8/7/2020,60.0,60.0
NP,8/9/2020,0.0,0.0
NP,8/11/2020,50.0,25.0
