Country,Date,One_day,Two_day
SK,4/26/2020,383.33333333333326,950.0
SK,4/27/2020,500.0,1300.0
SK,4/28/2020,33.333333333333336,266.6666666666667
SK,4/29/2020,57.14285714285714,42.857142857142854
SK,4/30/2020,20.0,60.0
SK,5/1/2020,28.57142857142857,28.57142857142857
SK,5/2/2020,50.0,25.0
SK,5/3/2020,400.0,500.0
SK,5/4/2020,60.0,0.0
SK,5/5/2020,50.0,75.0
SK,5/6/2020,50.0,62.5
SK,5/7/2020,56.25,62.5
SK,5/8/2020,0.0,30.0
SK,5/10/2020,100.0,550.0
SK,5/12/2020,87.5,75.0
SK,5/13/2020,0.0,75.0
SK,5/14/2020,87.5,50.0
SK,5/15/2020,33.333333333333336,33.333333333333336
SK,5/16/2020,84.61538461538461,76.92307692307692
SK,5/17/2020,300.0,300.0
SK,5/18/2020,200.0,500.0
SK,5/20/2020,0.0,400.0
SK,5/21/2020,66.66666666666667,33.333333333333336
SK,5/22/2020,0.0,100.0
SK,5/23/2020,0.0,0.0
SK,5/25/2020,50.0,50.0
SK,5/26/2020,50.0,50.0
SK,5/27/2020,50.0,50.0
SK,5/28/2020,80.0,60.0
SK,5/30/2020,0.0,200.0
SK,6/1/2020,100.0,100.0
SK,6/3/2020,66.66666666666667,66.66666666666667
SK,6/4/2020,100.0,0.0
SK,6/6/2020,100.0,50.0
SK,6/8/2020,100.0,50.0
SK,6/9/2020,100.0,100.0
SK,6/10/2020,100.0,50.0
SK,6/11/2020,100.0,100.0
SK,6/12/2020,0.0,0.0
SK,6/13/2020,66.66666666666667,33.333333333333336
SK,6/14/2020,33.333333333333336,0.0
SK,6/15/2020,50.0,25.0
SK,6/17/2020,88.8888888888889,55.555555555555564
SK,6/18/2020,200.0,100.0
SK,6/19/2020,85.71428571428571,78.57142857142857
SK,6/20/2020,50.0,70.0
SK,6/21/2020,500.0,500.0
SK,6/22/2020,400.0,700.0
SK,6/23/2020,400.0,500.0
SK,6/24/2020,72.22222222222223,66.66666666666667
SK,6/25/2020,65.21739130434783,78.26086956521739
SK,6/26/2020,23.07692307692308,30.76923076923077
SK,6/27/2020,7.142857142857142,7.142857142857142
SK,6/28/2020,85.71428571428571,114.28571428571428
SK,6/29/2020,1100.0,1300.0
SK,6/30/2020,450.0,550.0
SK,7/2/2020,15.384615384615385,7.6923076923076925
SK,7/3/2020,30.0,10.0
SK,7/4/2020,51.72413793103448,41.379310344827594
SK,7/5/2020,13.333333333333336,6.666666666666668
SK,7/6/2020,1600.0,1800.0
SK,7/7/2020,650.0,800.0
SK,7/11/2020,21.73913043478261,34.78260869565217
SK,7/12/2020,237.5,287.5
SK,7/13/2020,2100.0,3000.0
SK,7/14/2020,250.0,350.0
SK,7/15/2020,15.789473684210524,15.789473684210524
SK,7/16/2020,4.166666666666667,4.166666666666667
SK,7/17/2020,57.14285714285714,92.85714285714286
SK,7/18/2020,36.36363636363637,109.0909090909091
SK,7/19/2020,333.3333333333333,433.33333333333326
SK,7/20/2020,900.0,1400.0
SK,7/22/2020,56.75675675675675,70.27027027027027
SK,7/23/2020,35.483870967741936,45.161290322580655
SK,7/24/2020,20.689655172413797,20.689655172413797
SK,7/25/2020,0.0,4.3478260869565215
SK,7/26/2020,36.8421052631579,34.21052631578947
SK,7/31/2020,0.0,14.814814814814815
SK,8/3/2020,160.0,190.0
SK,8/4/2020,50.0,85.71428571428571
SK,8/6/2020,55.555555555555564,61.904761904761905
SK,8/8/2020,20.930232558139533,25.58139534883721
SK,8/9/2020,23.33333333333333,20.0
SK,8/11/2020,118.75,131.25
