Country,Date,One_day,Two_day
SO,4/20/2020,100.0,100.0
SO,4/27/2020,66.66666666666667,66.66666666666667
SO,4/28/2020,50.0,50.0
SO,5/2/2020,100.0,100.0
SO,5/3/2020,0.0,100.0
SO,5/4/2020,66.66666666666667,66.66666666666667
SO,5/5/2020,33.333333333333336,66.66666666666667
SO,5/6/2020,100.0,100.0
SO,5/9/2020,50.0,25.0
SO,5/10/2020,0.0,0.0
SO,5/11/2020,100.0,100.0
SO,5/14/2020,100.0,100.0
SO,5/16/2020,100.0,50.0
SO,5/17/2020,100.0,100.0
SO,5/18/2020,100.0,100.0
SO,5/19/2020,50.0,100.0
SO,5/20/2020,50.0,50.0
SO,5/25/2020,100.0,80.0
SO,6/6/2020,100.0,66.66666666666667
SO,6/7/2020,100.0,100.0
SO,6/8/2020,100.0,100.0
SO,6/9/2020,0.0,100.0
SO,6/13/2020,100.0,100.0
SO,6/14/2020,100.0,100.0
SO,6/21/2020,100.0,100.0
SO,7/4/2020,100.0,100.0
SO,7/12/2020,100.0,100.0
