Country,Date,One_day,Two_day
TD,4/30/2020,66.66666666666667,66.66666666666667
TD,5/2/2020,80.0,80.0
TD,5/5/2020,85.71428571428571,71.42857142857143
TD,5/9/2020,66.66666666666667,100.0
TD,5/14/2020,25.0,25.0
TD,5/15/2020,50.0,50.0
TD,5/16/2020,100.0,50.0
TD,5/17/2020,33.333333333333336,33.333333333333336
TD,5/19/2020,33.333333333333336,0.0
TD,5/20/2020,100.0,100.0
TD,5/21/2020,0.0,100.0
TD,5/23/2020,50.0,50.0
TD,5/25/2020,0.0,0.0
TD,5/26/2020,100.0,0.0
TD,5/27/2020,100.0,100.0
TD,5/28/2020,100.0,100.0
TD,6/1/2020,100.0,100.0
TD,6/5/2020,100.0,100.0
TD,6/6/2020,100.0,100.0
TD,6/8/2020,100.0,100.0
TD,6/9/2020,100.0,100.0
TD,6/10/2020,100.0,100.0
TD,6/14/2020,100.0,100.0
TD,6/16/2020,100.0,100.0
TD,7/12/2020,100.0,100.0
TD,8/6/2020,100.0,100.0
