country_name,date,affected_prediction,death_prediction
Afghanistan,2020-04-18,66,2
Albania,2020-04-18,22,0
Algeria,2020-04-18,160,17
Andorra,2020-04-18,16,1
Angola,2020-04-18,0,0
Antigua and Barbuda,2020-04-18,0,0
Argentina,2020-04-18,126,7
Armenia,2020-04-18,45,1
Australia,2020-04-18,43,1
Austria,2020-04-18,129,22
Azerbaijan,2020-04-18,53,1
Bahamas,2020-04-18,2,0
Bahrain,2020-04-18,72,0
Bangladesh,2020-04-18,299,16
Barbados,2020-04-18,1,0
Belarus,2020-04-18,599,3
Belgium,2020-04-18,1691,362
Belize,2020-04-18,0,0
Benin,2020-04-18,0,0
Bhutan,2020-04-18,0,0
Bolivia (Plurinational State of),2020-04-18,37,2
Bosnia and Herzegovina,2020-04-18,49,3
Botswana,2020-04-18,1,0
Brazil,2020-04-18,3037,208
Brunei Darussalam,2020-04-18,0,0
Bulgaria,2020-04-18,48,3
Burkina Faso,2020-04-18,11,2
Burundi,2020-04-18,0,0
Cambodia,2020-04-18,0,0
Cameroon,2020-04-18,78,3
Canada,2020-04-18,2211,180
Cabo Verde,2020-04-18,15,0
Central African Republic,2020-04-18,0,0
Chad,2020-04-18,2,0
Chile,2020-04-18,480,8
China,2020-04-18,213,688
Colombia,2020-04-18,225,10
Congo,2020-04-18,32,0
Congo (Democratic Republic of the),2020-04-18,15,1
Costa Rica,2020-04-18,11,0
Croatia,2020-04-18,39,1
Cuba,2020-04-18,52,3
Cyprus,2020-04-18,18,0
Czech Republic,2020-04-18,168,4
Denmark,2020-04-18,192,15
Djibouti,2020-04-18,139,0
Dominica,2020-04-18,0,0
Dominican Republic,2020-04-18,326,5
Ecuador,2020-04-18,304,17
Egypt,2020-04-18,171,10
El Salvador,2020-04-18,10,0
Equatorial Guinea,2020-04-18,18,0
Eritrea,2020-04-18,0,0
Estonia,2020-04-18,30,2
Ethiopia,2020-04-18,5,0
Fiji,2020-04-18,0,0
Finland,2020-04-18,120,6
France,2020-04-18,7780,986
Gabon,2020-04-18,22,0
Gambia,2020-04-18,0,0
Georgia,2020-04-18,30,0
Germany,2020-04-18,3496,363
Ghana,2020-04-18,2,0
Greece,2020-04-18,18,2
Grenada,2020-04-18,0,0
Guatemala,2020-04-18,18,0
Guinea,2020-04-18,39,1
Guinea-Bissau,2020-04-18,1,0
Guyana,2020-04-18,6,0
Haiti,2020-04-18,1,0
Holy See,2020-04-18,0,0
Honduras,2020-04-18,13,5
Hungary,2020-04-18,120,12
Iceland,2020-04-18,15,0
India,2020-04-18,1009,37
Indonesia,2020-04-18,413,23
Côte d'Ivoire,2020-04-18,38,0
Iran (Islamic Republic of),2020-04-18,1557,91
Iraq,2020-04-18,55,1
Ireland,2020-04-18,858,44
Israel,2020-04-18,320,10
Italy,2020-04-18,3539,569
Jamaica,2020-04-18,21,0
Japan,2020-04-18,1319,21
Jordan,2020-04-18,4,0
Kazakhstan,2020-04-18,153,0
Kenya,2020-04-18,10,0
Kuwait,2020-04-18,137,0
Kyrgyzstan,2020-04-18,20,0
Lao People's Democratic Republic,2020-04-18,0,0
Latvia,2020-04-18,8,0
Lebanon,2020-04-18,9,0
Liberia,2020-04-18,5,0
Libya,2020-04-18,5,0
Liechtenstein,2020-04-18,0,0
Lithuania,2020-04-18,29,1
Luxembourg,2020-04-18,58,2
Macedonia (the former Yugoslav Republic of),2020-04-18,77,1
Madagascar,2020-04-18,4,0
Malawi,2020-04-18,0,0
Malaysia,2020-04-18,93,1
Maldives,2020-04-18,2,0
Mali,2020-04-18,12,0
Malta,2020-04-18,11,0
Mauritania,2020-04-18,0,0
Mauritius,2020-04-18,0,0
Mexico,2020-04-18,450,52
Moldova (Republic of),2020-04-18,111,5
Monaco,2020-04-18,0,0
Mongolia,2020-04-18,0,0
Montenegro,2020-04-18,8,0
Morocco,2020-04-18,286,5
Mozambique,2020-04-18,3,0
Namibia,2020-04-18,0,0
Nepal,2020-04-18,4,0
Netherlands,2020-04-18,1278,163
New Zealand,2020-04-18,13,0
Nicaragua,2020-04-18,0,0
Niger,2020-04-18,27,1
Nigeria,2020-04-18,55,2
Norway,2020-04-18,112,8
Oman,2020-04-18,87,0
Pakistan,2020-04-18,289,13
Panama,2020-04-18,287,6
Papua New Guinea,2020-04-18,2,0
Paraguay,2020-04-18,28,0
Peru,2020-04-18,1070,24
Philippines,2020-04-18,220,19
Poland,2020-04-18,417,24
Portugal,2020-04-18,546,29
Qatar,2020-04-18,602,0
Romania,2020-04-18,426,19
Russian Federation,2020-04-18,4225,42
Rwanda,2020-04-18,3,0
Saint Kitts and Nevis,2020-04-18,0,0
Saint Lucia,2020-04-18,0,0
Saint Vincent and the Grenadines,2020-04-18,0,0
San Marino,2020-04-18,31,1
Sao Tome and Principe,2020-04-18,0,0
Saudi Arabia,2020-04-18,823,4
Senegal,2020-04-18,15,0
Serbia,2020-04-18,415,5
Seychelles,2020-04-18,0,0
Sierra Leone,2020-04-18,5,0
Singapore,2020-04-18,655,0
Slovakia,2020-04-18,88,2
Slovenia,2020-04-18,31,4
Somalia,2020-04-18,25,1
South Africa,2020-04-18,197,9
Korea (Republic of),2020-04-18,23,2
South Sudan,2020-04-18,0,0
Spain,2020-04-18,6539,664
Sri Lanka,2020-04-18,4,0
Sudan,2020-04-18,0,0
Suriname,2020-04-18,0,0
Swaziland,2020-04-18,0,0
Sweden,2020-04-18,691,109
Switzerland,2020-04-18,368,51
Syrian Arab Republic,2020-04-18,4,0
Taiwan,2020-04-18,0,0
"Tanzania, United Republic of",2020-04-18,40,0
Thailand,2020-04-18,28,2
Timor-Leste,2020-04-18,5,0
Togo,2020-04-18,2,1
Trinidad and Tobago,2020-04-18,0,0
Tunisia,2020-04-18,39,1
Turkey,2020-04-18,4582,126
Uganda,2020-04-18,0,0
Ukraine,2020-04-18,527,9
United Arab Emirates,2020-04-18,481,3
United Kingdom of Great Britain and Northern Ireland,2020-04-18,5864,846
United States of America,2020-04-18,32018,4066
Uruguay,2020-04-18,6,0
Uzbekistan,2020-04-18,81,0
Venezuela (Bolivarian Republic of),2020-04-18,3,0
Viet Nam,2020-04-18,0,0
Western Sahara,2020-04-18,0,0
Yemen,2020-04-18,0,0
Zambia,2020-04-18,3,0
Zimbabwe,2020-04-18,2,0
