,Countryname,Population,Totaltests,Deathrate
0,Afghanistan,38939811,78217,2.822342809956353
1,Albania,2877718,26637,2.6722472633612364
3,Andorra,77268,3750,6.0818713450292385
4,Angola,32874913,10000,5.4404145077720205
7,Argentina,45204055,423782,1.9464552453177064
8,Armenia,2963374,129166,1.7630000659065443
9,Aruba,106776,2842,2.8571428571428568
10,Australia,25505429,2905324,1.1701070758361851
11,Austria,9007513,675727,3.8135364338572897
12,Azerbaijan,10141009,537230,1.2502281438218652
13,Bahamas,393318,2489,10.377358490566039
14,Bahrain,1701956,630753,0.3265332514306036
15,Bangladesh,164721496,892152,1.2763312303205645
17,Belarus,9449246,1087245,0.689773293472845
18,Belgium,11590751,1335704,15.717730268445587
20,Benin,12126731,56613,1.7514595496246872
21,Bermuda,62272,12764,6.04026845637584
23,Bolivia,11675840,97202,3.668806997952727
24,Bosnia,3280258,104343,3.5610836599079914
25,Botswana,2352306,47860,0.3184713375796179
26,Brazil,212591154,4468829,3.9654561600190186
28,Brunei,437562,29841,2.127659574468085
29,Bulgaria,6946975,164104,4.083885209713024
31,Burundi,11894033,749,0.5235602094240838
32,Cabo Verde,556102,39485,1.1673151750972763
35,Canada,37748830,3055341,8.208843038878554
37,Cayman Islands,65736,25530,0.4975124378109453
38,Central African Republic,4831091,25872,1.2655147237770747
40,Channel Islands,173895,21388,8.145580589254768
41,Chile,19119526,1220790,2.168712860833501
42,China,1439323776,90410000,5.5443222742010745
43,Colombia,50893315,923714,3.5191778479143023
46,Costa Rica,5095048,50852,0.4283755997258396
47,Croatia,4104572,88235,3.428571428571429
48,Cuba,11326445,192443,3.58482701125469
50,Cyprus,1207543,167394,1.8849206349206349
51,Czechia,10709450,579400,2.7391915092867176
52,Côte d'Ivoire,26386037,69009,0.6780250347705146
54,Denmark,5792667,1174919,4.72093023255814
56,Djibouti,988248,48636,1.1249744323992636
58,Dominican Republic,10850036,174751,2.094068909770637
59,Ecuador,17647584,168272,7.7049569135900065
60,Egypt,102363361,135000,4.551491622394769
61,El Salvador,6486926,184831,2.7476255088195387
62,Equatorial Guinea,1403330,16000,1.6606968414197332
64,Estonia,1326557,111027,3.4311287916459463
65,Ethiopia,114997421,250604,1.771479185119575
69,Finland,5540924,266600,4.5285615966964885
70,France,65276894,1384633,17.681282564184265
71,French Guiana,298769,8707,0.4030042132258656
73,Gabon,2226391,44383,0.7835121785045137
75,Georgia,3988972,134250,1.5495867768595042
76,Germany,83790088,6376054,4.5858174225844595
77,Ghana,31081986,320071,0.5652440627464727
79,Greece,10421687,355190,5.3285477636664815
82,Guadeloupe,400126,9649,7.608695652173914
83,Guatemala,17920603,64590,4.1438746999331
84,Guinea,13136577,14407,0.5968053361418291
86,Guyana,786636,3019,5.63380281690141
87,Haiti,11405092,13709,1.8963922294172064
89,Honduras,9907212,49308,2.6714912618369397
90,Hong Kong,7498228,347400,0.5287009063444109
91,Hungary,9659720,289602,14.004739336492893
92,Iceland,341290,93215,0.5319148936170213
93,India,1380270828,10740832,2.7508361964857
94,Indonesia,273579330,968237,4.933973765772118
95,Iran,84012442,1872391,4.8651456040969645
96,Iraq,40234335,637227,4.120577681563418
97,Ireland,4938832,478339,6.804478897502153
98,Isle of Man,85043,6829,7.142857142857142
99,Israel,9197590,1162749,1.019235867676083
100,Italy,60459584,5754116,14.418395285547328
101,Jamaica,2961456,27357,1.3315579227696404
102,Japan,126466402,518210,4.8577376821651645
103,Jordan,10205118,440825,0.8554319931565441
104,Kazakhstan,18780875,1659543,0.4979159201071274
105,Kenya,53787095,196508,1.9817073170731707
