Unnamed: 0,Countryname,Population,Totaltests,Deathrate
204,USA,330827597,16757246,5.836071736656788
160,Russia,145928996,10000061,1.1284160124657203
203,UK,67853964,4043686,14.070023818126847
76,Germany,83760156,3952971,4.6956873330091415
100,Italy,60469504,3755279,14.307550549412696
183,Spain,46753197,3556567,9.4946856926804
93,India,1378752175,3483838,2.870465903130422
202,UAE,9879229,2110493,0.7838408200180885
200,Turkey,84254857,1964364,2.7689365901801133
35,Canada,37711800,1593377,7.807361002349255
10,Australia,25472297,1397622,1.4359403317998047
70,France,65260761,1384633,15.36864077929724
154,Peru,32928451,928797,2.891119277184915
209,Venezuela,28442842,897695,0.8289374529012812
95,Iran,83892015,896571,5.234270597540021
163,S. Korea,51265321,885120,2.3592352218908963
156,Poland,37850199,873456,4.5389764629669616
26,Brazil,212422152,871839,6.0602694193685975
18,Belgium,11585114,836879,16.241539070977076
157,Portugal,10199255,795838,4.329180492080386
171,Saudi Arabia,34762153,787465,0.5601350194457354
104,Kazakhstan,18755722,761727,0.3725332259363673
181,South Africa,59238562,680175,2.0896032831737346
54,Denmark,5790388,606574,4.899508323988614
99,Israel,9197590,565311,1.6718667216106435
41,Chile,19101165,546506,1.0415057702067565
149,Pakistan,220474171,520017,2.0569126007371774
122,Malaysia,32327063,519944,1.4873254009311951
17,Belarus,9449593,512418,0.5495044647237759
208,Uzbekistan,33423219,460000,0.40369088811995385
11,Austria,9001768,434302,4.010807565295707
51,Czechia,10707231,430564,3.4749455337690627
159,Romania,19248434,421451,6.574649668106628
190,Switzerland,8648865,390697,6.22486051641365
195,Thailand,69784490,375453,1.8530559167750331
141,Netherlands,17131525,348256,12.858257815548715
206,Ukraine,43755845,337318,2.9766340800490987
176,Singapore,5846144,334691,0.06792675723567633
155,Philippines,109443743,332689,5.663099675363712
97,Ireland,4932656,325795,6.6127994854478205
14,Bahrain,1695292,304179,0.1435544071202986
94,Indonesia,273255522,300545,6.027918781725888
115,Lithuania,2725331,294091,4.0914560770156445
15,Bangladesh,164537836,287067,1.3584165810848658
12,Azerbaijan,10130782,284669,1.1625576267789135
43,Colombia,50832596,283346,3.240558227548687
106,Kuwait,4264573,282341,0.7703303684879289
102,Japan,126509583,281293,5.196907031109513
143,New Zealand,5002100,275852,1.4627659574468086
